case_name,method,lambda_gain,final_rmse_all,final_rmse_inlier,final_fitness,final_rotation_error_deg,final_translation_error,final_alignment_error,mean_alignment_error,iae_alignment,ise_alignment,tv_translation_update,tv_rotation_update,mean_selected_correspondences,mean_predicted_weight
real_20260626_144015_pallet_rack_05_part1_refined_from_voxel005,unweighted_icp,1.0,0.0502993743490733,0.033496373020426,0.6629711751662971,1.1922349707497315,0.0277583390921005,0.0899800631486712,0.1058515474321855,2.7521402332368234,0.2994535644209486,0.0165506782577594,1.773679791292008,1353.0,0.2580365618241624
real_20260707_154904_ur10_choko_base_cluster016_base_refined_from_center_v2,unweighted_icp,1.0,0.0359337700219428,0.0305893891611461,0.8816234498308907,3.3273412410642265,0.024868152014863,0.0940753344474481,0.2282327266397036,5.934050892632295,1.6939125736434753,0.1705650263877219,2.6526778448260515,887.0,0.5707951153853799
real_20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,mlp_weighted_icp,1.0,0.0860870300942626,0.0328295869745543,0.5092387287509239,1.046125898390861,0.0111884508618205,0.1077367399399917,0.1264513250841233,3.287734452187207,0.4297805884173887,0.0182363010025815,1.7343832785041522,1298.3461538461538,0.217267032670056
real_20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,distance_weighted_icp,0.75,0.083251083598771,0.0337548632563582,0.5188470066518847,1.5596888259089143,0.0089791124088596,0.1078270842667198,0.1308283959895014,3.401538295727037,0.4599060557419198,0.0119232245953124,0.8373376868935359,1306.5384615384614,0.2090877296738948
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,mlp_weighted_icp,1.0,0.0884453493916783,0.0355060121985554,0.415,1.4815735471517413,0.0111181313210854,0.1143792161842811,0.1488863826319377,3.871045948430382,0.5965312958905521,0.0128827723279475,0.5948671958320614,2500.0,0.3285935751767442
real_20260706_150131_table3_cluster004_table3_refined_from_identity,unweighted_icp,1.0,0.0761214539157252,0.0332012654425439,0.697,0.5476067588522187,0.0590342183709997,0.1406317398752471,0.2640370587726322,6.864963528088438,2.5534020085582303,0.1967298527180523,2.3247913309435035,977.4615384615385,0.2609947568131976
real_20260703_135250_rm00_0260_02_cluster029_full_refined_from_voxel005,distance_weighted_icp,1.0,0.0853694463346258,0.0318786908490749,0.5555555555555556,1.770609130329053,0.0385975519729675,0.1416730896108839,0.1833030264904446,4.765878688751561,0.8844792646922413,0.0241684535913799,1.3196219261909383,846.5384615384615,0.4328392902707632
real_20260706_145031_table2_cluster004_table2_refined_from_identity,unweighted_icp,1.0,0.0369312090667305,0.0308653961847394,0.8523809523809524,1.56501385221696,0.1645485241309701,0.2171298717198703,0.3009915057315269,7.8257791490197,2.6701040557138365,0.0927635505449543,1.40845370536124,1050.0,0.4652202149711489
real_20260706_130424_table_cluster004_table1_refined_from_identity_scale1,unweighted_icp,0.4,0.0564945461761628,0.0341048589777557,0.5982783357245337,3.040374901654106,0.1382599279907398,0.2251582231834437,0.3214264484629865,8.357087660037651,2.817778862112315,0.0670095814003383,0.9925905602560432,696.7692307692307,0.3443328978026507
real_20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005,unweighted_icp,0.75,0.1515893913216826,0.0363135772416595,0.2222222222222222,2.636253384071204,0.0539929443866073,0.231944869549002,0.2429658595936228,6.317112349434193,1.539558719320606,0.0420838896300927,3.073161238440949,739.0384615384615,0.1414063531532119
real_20260706_153654_table_fanuc_cluster000_table1_refined_from_identity,mlp_weighted_icp,1.0,0.2583944239954857,0.0332923499436785,0.4036666666666667,1.5716702345119675,0.061327807372373,0.3354389337129784,0.5370891358244061,13.96431753143456,8.319816369827745,0.0924957213378708,0.7933881315919683,2273.038461538461,0.4042962066765045
real_20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005,unweighted_icp,0.1,0.2738453054930679,0.0376336841630946,0.1012564671101256,3.2027282542596343,0.0518834375112464,0.3577560255469107,0.3659001602460889,9.513404166398312,3.484729888655294,0.0077085427490766,0.2620084163963394,615.1153846153846,0.0650052307573571
