case_name,method,lambda_gain,final_rmse_all,final_rmse_inlier,final_fitness,final_rotation_error_deg,final_translation_error,final_alignment_error,mean_alignment_error,iae_alignment,ise_alignment,tv_translation_update,tv_rotation_update,mean_selected_correspondences,mean_predicted_weight
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,distance_weighted_icp,0.1,0.09405897262063319,0.0367920602789517,0.32666666666666666,4.901125494312368,0.05049616218493651,0.1935663897486934,0.19995341251192814,5.1987887253101315,1.0399181759331868,0.0005600450793489943,0.024632852923495954,2500.0,0.30282229394706917
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,distance_weighted_icp,0.2,0.09291884252149277,0.036322919355232325,0.3353333333333333,4.567374142579469,0.04403431622967877,0.18262690017696623,0.1940396531144106,5.045030980974675,0.9802686759576968,0.0011892680800657891,0.058178706065866476,2500.0,0.3049257559223408
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,distance_weighted_icp,0.4,0.09089933575156432,0.036259611493260645,0.37233333333333335,3.7337285406666476,0.034130789427221565,0.16236741058545237,0.18306275751703377,4.759631695442878,0.8758408026601717,0.0028109505749350366,0.14372338992960562,2500.0,0.3096106859336375
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,distance_weighted_icp,0.75,0.08944252474579151,0.03599563900003944,0.40166666666666667,2.509385831910263,0.022639852265208555,0.1371762353301027,0.16714064372231496,4.345656736780189,0.7376349294165132,0.006085189993651421,0.33534511986663323,2500.0,0.3141298885312124
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,distance_weighted_icp,1.0,0.08890659509862046,0.03548477578633369,0.4076666666666667,1.83320201770822,0.01732143076890397,0.12456004604460663,0.15830779649133098,4.116002708774605,0.6670672468165243,0.008917216071016186,0.413752128044487,2500.0,0.31648345540245904
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,mlp_weighted_icp,0.1,0.09363303743336626,0.03666052118427062,0.32966666666666666,4.800896696536871,0.048659979160138034,0.190301983558873,0.19811692273203055,5.151039991032794,1.0211421668307743,0.0008126480673113451,0.03607733198319478,2500.0,0.3135224561905832
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,mlp_weighted_icp,0.2,0.09203303310770312,0.036133726803843455,0.3463333333333333,4.335874370693124,0.03968406972140956,0.17507584653604394,0.1904703164718003,4.952228228266808,0.9455073821408793,0.0017641661006860946,0.08184113189973163,2500.0,0.3169115500234243
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,mlp_weighted_icp,0.4,0.09007878694115856,0.035867726418023785,0.37666666666666665,3.312287421951751,0.027339075691916875,0.15054073685259295,0.17624732570930682,4.582430468441977,0.8151307152565093,0.0043163249524507084,0.1937908980706078,2500.0,0.32081468966534044
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,mlp_weighted_icp,0.75,0.08870764976562673,0.03554800783277267,0.4063333333333333,2.017078401859803,0.01507489043051179,0.12395332421473654,0.1577427584261768,4.101311719080597,0.6630938329029479,0.009083164290680344,0.38844414095755136,2500.0,0.32608470746532225
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,mlp_weighted_icp,1.0,0.08844534939167831,0.035506012198555495,0.415,1.4815735471517413,0.011118131321085457,0.11437921618428118,0.14888638263193776,3.871045948430382,0.5965312958905521,0.012882772327947533,0.5948671958320614,2500.0,0.3285935751767442
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,unweighted_icp,0.1,0.09126836125872695,0.03644514071895303,0.35133333333333333,4.143454595553611,0.041908002261559205,0.17461090947582228,0.18900261943907395,4.9140681054159225,0.9311581543166982,0.0016908644196794785,0.08493621418376743,2500.0,0.303393360518308
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,unweighted_icp,0.2,0.08861386201548425,0.03592508861059583,0.36466666666666664,3.5805946203939807,0.0361873796425209,0.16060718786194497,0.17767990906298692,4.61967763563766,0.8259300412791433,0.003777970594922834,0.1947412708358337,2500.0,0.30637858808124563
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,unweighted_icp,0.4,0.08503183563779734,0.035927768477158825,0.3993333333333333,3.4074689994563925,0.03879905610166335,0.1579055817340246,0.1674758935134344,4.354373231349294,0.7349416977364897,0.008587876641010156,0.47585768915137616,2500.0,0.31046212767582104
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,unweighted_icp,0.75,0.08340210336150553,0.036235486549907214,0.3973333333333333,3.7413412054497552,0.04716209648058821,0.16797761189659127,0.1658501381296179,4.312103591370065,0.7188757115669316,0.01673583994466444,0.9588851368546647,2500.0,0.31474050119407126
