method,lambda_gain,mean_final_rmse_all,mean_final_fitness,mean_final_rotation_error_deg,mean_final_translation_error,mean_final_alignment_error,mean_alignment_error,mean_iae_alignment,mean_ise_alignment,mean_tv_translation_update,mean_tv_rotation_update,mean_selected_correspondences,mean_predicted_weight
distance_weighted_icp,0.1,0.11178747111804761,0.47856524785071164,4.599404384119439,0.21279662709177913,0.3705781420510211,0.3833014864437015,9.96583864753624,5.127059058360152,0.0030015406170582682,0.07265957558773406,1207.2339743589744,0.30025553629584206
distance_weighted_icp,0.2,0.11095347630136636,0.4946970249429043,4.1372066216068735,0.19801581323719153,0.3503413557546266,0.37163045042799553,9.662391711127883,4.813014918211235,0.006732422868892405,0.1702218586742006,1207.054487179487,0.3013307782741043
distance_weighted_icp,0.4,0.1101961051702658,0.5122748067770851,3.470930359022017,0.17486394711178618,0.3197693558722722,0.3532271276103036,9.183905317867895,4.344301211773701,0.01495403782221417,0.3788758511746453,1207.1410256410256,0.30316320493009224
distance_weighted_icp,0.75,0.10962213453471131,0.529094806872649,2.735191067786683,0.14095657147884377,0.27793061669142194,0.3273835348183054,8.51197190527594,3.767228306547555,0.03171102262293316,0.7892412581181621,1206.551282051282,0.3053704879158886
distance_weighted_icp,1.0,0.10936549804683204,0.5319237306904486,2.4631290890443887,0.12537196836679218,0.2593687573040681,0.31316278563017114,8.142232426384448,3.4675078914831556,0.045728398107455305,1.1273631303139167,1206.1025641025642,0.3064080994906968
mlp_weighted_icp,0.1,0.11199410443487036,0.4800048351891662,4.468597419803886,0.21181056251799477,0.36849064115090396,0.3821243867718031,9.93523405606688,5.0771853413093515,0.002922364611325694,0.09129094550421119,1207.0993589743591,0.3013858849242534
mlp_weighted_icp,0.2,0.1116257143562666,0.49618563260039306,3.9257667310864215,0.19623799062336303,0.34712137229049383,0.3696589853776268,9.611133619818297,4.732208975672361,0.006886687300253114,0.2086244146000961,1206.7179487179487,0.30300895879217055
mlp_weighted_icp,0.4,0.11247462526794218,0.5139492054810283,3.4249133784057544,0.17110763996752165,0.31783139901952134,0.35065196452916597,9.116951077758316,4.229561305592172,0.01609251224759287,0.49791209984825024,1205.3173076923076,0.3056949340139446
mlp_weighted_icp,0.75,0.11265551025531746,0.5253310359329088,3.2771142267242315,0.1482690159420321,0.2936956684645919,0.32788846483902495,8.525100085814648,3.689638365138783,0.03671064112612163,1.0906809737749052,1203.1826923076924,0.3089469315520415
mlp_weighted_icp,1.0,0.11256749068410023,0.5272795178139589,3.262128740445806,0.14076228268797622,0.28595106077653454,0.31935963082402924,8.30335040142476,3.5175052234773214,0.05247614646795471,1.536470137508279,1202.320512820513,0.310279039221099
unweighted_icp,0.1,0.1073408407281437,0.48322611099046786,4.134924702863678,0.18141420825926355,0.330104296016044,0.3599124780032632,9.357724428084845,4.487243454962764,0.006559435823324075,0.1696151392712203,1213.4423076923076,0.30082458214107716
unweighted_icp,0.2,0.10522088979479764,0.49545612674460066,3.536458955356141,0.15097517873260707,0.29156065808096615,0.3350286718405326,8.710745467853847,3.8486441947648413,0.014643613186576277,0.3806012565369345,1217.445512820513,0.3019636240851656
unweighted_icp,0.4,0.10346520363036153,0.512558206364972,3.0119897569153333,0.11013041479514502,0.24371551599465988,0.3001776695545388,7.8046194084180085,3.081936119972678,0.03317992855579155,0.8657051835178411,1221.2243589743591,0.30375491516799374
unweighted_icp,0.75,0.10272301835055464,0.5229166144678914,3.2456844967429332,0.09859364210295773,0.23377350542094175,0.2712265494964873,7.0518902869086695,2.5578133633194424,0.07085854232843802,1.8227652527874927,1223.926282051282,0.3055245193595309
unweighted_icp,1.0,0.10271942609215991,0.5246787242742715,3.40186522767022,0.09981534761760302,0.23655342598646514,0.26291747743736993,6.835854413371618,2.432703045869141,0.09698721089758731,2.5074401020209156,1224.3461538461538,0.3062261397376044
