method,lambda_gain,mean_final_rmse_all,mean_final_fitness,mean_final_rotation_error_deg,mean_final_translation_error,mean_final_alignment_error,mean_alignment_error,mean_iae_alignment,mean_ise_alignment,mean_tv_translation_update,mean_tv_rotation_update,mean_selected_correspondences,mean_predicted_weight
distance_weighted_icp,0.01,0.10414897974507537,0.26492592592592595,11.353223095414458,0.14629173021878109,0.36397294091800103,0.370090523538113,11.472806229681504,4.277693608134771,0.0002583026256653715,0.012999423981182695,1781.92688172043,0.49863065136715995
distance_weighted_icp,0.03,0.09714977698917966,0.28985185185185186,10.97676677413868,0.13270590613933758,0.3396233508699041,0.35788807570024944,11.094530346707733,4.003336355581484,0.0008281742001419445,0.04397961647724547,1784.1333333333334,0.507662305925509
distance_weighted_icp,0.05,0.09059789095523006,0.316,10.552722142461757,0.11957802837841047,0.3157031407582581,0.3457840183968802,10.719304570303287,3.7444497952621854,0.0014511480524098124,0.07827279631695255,1786.2236559139785,0.5174838584386612
distance_weighted_icp,0.1,0.07642954899799856,0.41129629629629627,9.357410651055199,0.0892942354219679,0.25929789093051847,0.31647382674529995,9.810688629104298,3.1697230961140415,0.003182301440625994,0.17675174955073572,1789.5182795698925,0.5433410750215962
distance_weighted_icp,0.2,0.05482162293730366,0.7207777777777779,6.484476110616989,0.042002727120830884,0.16166911116430444,0.2626078473671405,8.140843268381355,2.2953140991673444,0.007401318797459574,0.41155183413430996,1792.6301075268818,0.5996759287939993
distance_weighted_icp,0.4,0.032453532201121536,0.9281851851851852,1.4958924601221288,0.01126489368234199,0.058677350484684816,0.18228546951027483,5.650849554818519,1.3735122846283063,0.018532471804950948,1.0703815799159266,1795.4021505376343,0.6879579400238467
distance_weighted_icp,0.75,0.03100337695960764,0.9391851851851851,0.38984766790561937,0.005573340422115423,0.040475194060779256,0.12020361503747902,3.72631206616185,0.8265307113001977,0.03619722531041331,2.1997682491503827,1796.9354838709676,0.7480038270562097
distance_weighted_icp,1.0,0.03103530041431115,0.9396296296296297,0.37645474134481016,0.005366770301120861,0.040166618128880116,0.10146664262722983,3.1454659214441247,0.6665964028030608,0.04816974665269394,2.9111324822024756,1797.34623655914,0.765556570282686
mlp_weighted_icp,0.01,0.10307630242085379,0.2688888888888889,11.254433555199656,0.14352228182010182,0.35914291979295215,0.3676597070667786,11.397450919070137,4.222745433644689,0.00036375001517395907,0.01633494879580427,1782.101075268817,0.5006949545174612
mlp_weighted_icp,0.03,0.09416317717119901,0.3012222222222222,10.628752173918906,0.12526996101807994,0.325720659928468,0.35075458921006664,10.873392265512065,3.850841123766228,0.0011773147373996208,0.05531068139816642,1784.9032258064515,0.5144607118143628
mlp_weighted_icp,0.05,0.08618136489607875,0.33918518518518515,9.948684843524825,0.10869353667264689,0.2943617500039739,0.334402402227211,10.36647446904354,3.5142103106678277,0.0020713736682863703,0.09963672124272212,1787.0903225806453,0.5288665839150238
mlp_weighted_icp,0.1,0.06968459375491816,0.4971481481481482,8.190804438342663,0.07355052922498519,0.22514316736332998,0.29665394884268,9.19627241412308,2.8197907780692697,0.004685963463209195,0.21622049539205287,1790.1634408602151,0.5647943599575427
mlp_weighted_icp,0.2,0.04774252062727629,0.8344444444444445,4.617250780452227,0.02842803253701044,0.122343060968809,0.23343746016593692,7.2365612651440445,1.8990025252426928,0.011225490589676316,0.48166000164714906,1792.92688172043,0.6342077302295235
mlp_weighted_icp,0.4,0.03226605609665929,0.9369629629629629,0.5825817786426791,0.004679631616155141,0.042771505499241226,0.15215211054356562,4.716715426850535,1.0818171150001057,0.026196115361284182,1.2984651544045271,1795.221505376344,0.7190775362089844
mlp_weighted_icp,0.75,0.03204942372655152,0.9394074074074074,0.1956056877973751,0.0024645146904298415,0.036469995294955114,0.10045835829563851,3.114209107164794,0.6468351153527293,0.04980529591325771,2.4626089762001455,1796.3827956989248,0.7671201300730197
mlp_weighted_icp,1.0,0.032049538897556754,0.9393333333333334,0.2049121044458282,0.002429736692941065,0.0365283966349561,0.08546909746569128,2.64954202143643,0.5226288349173545,0.06653778063650496,3.274047249958985,1796.6795698924732,0.7808488432862826
unweighted_icp,0.01,0.10182535491039633,0.26981481481481484,11.146034246315216,0.14261160894106298,0.3558973063146115,0.3659784330636327,11.345331424972613,4.180644448307934,0.0004029217162374105,0.02260493530339114,1783.7032258064514,0.5007531164615701
unweighted_icp,0.03,0.09120351400450051,0.30822222222222223,10.413233424383186,0.12282237028042922,0.3181582185287616,0.3464576712127308,10.740187807594655,3.7500878120482883,0.0013140516244793433,0.07768599432074244,1788.3505376344085,0.5146383697668703
unweighted_icp,0.05,0.08248650969281683,0.34555555555555556,9.704989147765135,0.10537891007983084,0.284915311250299,0.32835451589679,10.178989992800489,3.381413698408735,0.0023700530407534583,0.13769353883446211,1790.4236559139786,0.529246182196164
unweighted_icp,0.1,0.06619299325289348,0.4850740740740741,8.051601125444055,0.07265306127139239,0.2193620657787264,0.2893438032661969,8.969657901252102,2.6783999876496716,0.0054352080439104096,0.3077824248024747,1793.5139784946236,0.5649180300226071
unweighted_icp,0.2,0.0458140832899091,0.7955185185185185,4.931077755828557,0.0414620704975703,0.13658693134576497,0.23238479657074704,7.203928693693158,1.8556960006436125,0.0128170053176862,0.6782812332768551,1796.2344086021506,0.6303220775530408
unweighted_icp,0.4,0.029890113831262954,0.8922592592592592,1.164896460548484,0.020958957330446983,0.06249803576719478,0.161620455798215,5.010234129744665,1.154871982269112,0.02919421274183287,1.642468909254528,1797.9440860215052,0.7097808374401591
unweighted_icp,0.75,0.02936371310087885,0.8962222222222223,0.6289814701406367,0.01859915762986363,0.054252685432148846,0.11393812502574154,3.5320818757979873,0.7709389735111153,0.05578514555420234,3.2041180041844353,1798.7612903225806,0.7559263027280869
unweighted_icp,1.0,0.029359290594525442,0.8961111111111111,0.6201945582345133,0.018560391069416416,0.05412162724628699,0.09973066751662173,3.0916506930152736,0.6585890085288206,0.07457297913260094,4.332960873111062,1798.9741935483871,0.7692686295180368
