scenario,seed,method,lambda_gain,iteration,num_source_points,num_target_points,num_selected_correspondences,mean_predicted_weight,mean_selected_distance,mean_selected_point_to_plane,translation_update_norm,rotation_update_deg,rmse_all,rmse_inlier,fitness,rotation_error_deg,translation_error,alignment_error
clean,0,unweighted_icp,0.01,0,1800,1800,1800,0.5399446488064873,0.08635016502161154,0.07118825067291899,0.0,0.0,0.0983511454193281,0.035243467202531846,0.2611111111111111,11.523197640929231,0.15322279473444214,0.3668059165630625
clean,0,unweighted_icp,0.01,1,1800,1800,1800,0.5404680732199567,0.08619050343523474,0.071039714536361,0.00035552551366987176,0.021125182393509932,0.09815482031087382,0.035172102584171104,0.26055555555555554,11.503987773910092,0.15286813631775475,0.36606283436772946
clean,0,unweighted_icp,0.01,2,1800,1800,1800,0.5403563501232748,0.08603094460520443,0.07088790460550722,0.0003545739120656571,0.02124915650317746,0.09795847378911358,0.035064111273839765,0.2594444444444444,11.48473331396643,0.15251436144418204,0.3653201683729599
clean,0,unweighted_icp,0.01,3,1800,1800,1800,0.5407627281916066,0.08587238091961136,0.07072540491772274,0.00035357464912463767,0.021019527457594393,0.09776336711455315,0.03499462566232016,0.2588888888888889,11.465691601886448,0.15216167448951332,0.36458195762293094
clean,0,unweighted_icp,0.01,4,1800,1800,1800,0.5406897529557263,0.0857150893241582,0.07052033094879537,0.0003520710862066226,0.020899547967584933,0.09756945365341167,0.035039877781334806,0.26,11.44671840351946,0.15181043996728283,0.36384707765588914
clean,0,unweighted_icp,0.01,5,1800,1800,1800,0.5407632160681481,0.0855582239704676,0.07040571862546423,0.00035156490967711153,0.020578038579052903,0.09737612126378156,0.03504510822423909,0.26055555555555554,11.428040144970055,0.1514598222763108,0.3631163449897929
clean,0,unweighted_icp,0.01,6,1800,1800,1800,0.5420216158329721,0.08540027390322481,0.07025926847768943,0.0003516652740617143,0.02052486584222244,0.09718230130898511,0.03489524675871523,0.2588888888888889,11.409492125447226,0.15110917391702725,0.36238639648048465
clean,0,unweighted_icp,0.01,7,1800,1800,1800,0.5425098781570188,0.08524076344949252,0.0701211360685449,0.0003505018559639254,0.02069049846440267,0.09698687490429266,0.03486008841287104,0.2588888888888889,11.390887233010696,0.15075975071088157,0.3616554979452812
clean,0,unweighted_icp,0.01,8,1800,1800,1800,0.5426311795254888,0.08508240604105469,0.06996680868924583,0.00034964643960577697,0.02055554262489848,0.09679244604803565,0.034827138645888385,0.2588888888888889,11.372347844875419,0.1504112290052598,0.3609271535020496
clean,0,unweighted_icp,0.01,9,1800,1800,1800,0.5435087575830434,0.0849245159291016,0.06978652972953892,0.0003478339810711773,0.02057945919630479,0.09659877024651811,0.03474987512016515,0.25833333333333336,11.35390091048342,0.15006448218355023,0.36020226153490253
clean,0,unweighted_icp,0.01,10,1800,1800,1800,0.5435379677307033,0.08476713383690596,0.06968531857480616,0.00034766130391647405,0.020497609990099728,0.09640557541141988,0.03475309388551686,0.2588888888888889,11.335432856474657,0.14971805425306792,0.3594779582292344
clean,0,unweighted_icp,0.01,11,1800,1800,1800,0.5439913288100439,0.08461133862609635,0.06956886087493686,0.00034431166670536033,0.020507549744263453,0.09621353184151697,0.034719432654969226,0.2588888888888889,11.316966962942976,0.14937492807046793,0.35875812954141467
clean,0,unweighted_icp,0.01,12,1800,1800,1800,0.544693992784285,0.08445378946052808,0.0693600833156597,0.0003423866901614544,0.020933013270222428,0.09601862789333782,0.03476554202569846,0.26,11.298417484183318,0.1490337599184197,0.3580365626535907
clean,0,unweighted_icp,0.01,13,1800,1800,1800,0.5455460152402679,0.0842966650681644,0.06928270590992927,0.0003426118226152209,0.020787054194128355,0.09582441728064114,0.03477146878667566,0.26055555555555554,11.279928227611961,0.14869238976051352,0.35731608931727427
clean,0,unweighted_icp,0.01,14,1800,1800,1800,0.5456278984891562,0.08414042974963602,0.06913301631684406,0.00034138143117326525,0.02098627973206352,0.09563059483477868,0.03470019467379792,0.26,11.261350905087744,0.14835210549579095,0.3565962093814471
clean,0,unweighted_icp,0.01,15,1800,1800,1800,0.5460157995669376,0.0839861750613049,0.0688796145616557,0.000338262503002818,0.0208571533273554,0.09543908990759659,0.034669443780424004,0.26,11.242880727631459,0.1480148793769058,0.35588277656081696
clean,0,unweighted_icp,0.01,16,1800,1800,1800,0.546395286136266,0.08383194953219354,0.06862627066625121,0.0003385971398909594,0.020715172006879563,0.09524765041983284,0.03472061693107517,0.2611111111111111,11.224555697031247,0.1476773165136831,0.3551705239038284
clean,0,unweighted_icp,0.01,17,1800,1800,1800,0.5471974722531862,0.0836767887343746,0.06846613879497886,0.0003386095466417172,0.020644291245704535,0.09505468646267998,0.03484654614940572,0.2633333333333333,11.206380239184218,0.14733985306639152,0.3544583419209137
clean,0,unweighted_icp,0.01,18,1800,1800,1800,0.5473499332873334,0.08352152401573765,0.06832798258370912,0.0003384103421910447,0.020757412566608548,0.09486182170202126,0.03489204674299647,0.2644444444444444,11.188207327283257,0.14700257428879338,0.3537464692636472
clean,0,unweighted_icp,0.01,19,1800,1800,1800,0.547464617224612,0.08336798730115995,0.06817559701175238,0.00033670988683784007,0.020535293371590404,0.09467088176855011,0.034938601666705184,0.26555555555555554,11.170254382724845,0.1466670324284091,0.3530404580242077
clean,0,unweighted_icp,0.01,20,1800,1800,1800,0.5479171918535904,0.08321564305238267,0.06802467544091619,0.00033499138375253336,0.02046707357411818,0.09448127705608325,0.034908399561383925,0.26555555555555554,11.152347749107895,0.14633313323249333,0.3523378877796555
clean,0,unweighted_icp,0.01,21,1800,1800,1800,0.5482071924251731,0.08306459827062007,0.0679108948115886,0.0003347136073187722,0.020305885835615024,0.0942930415226662,0.0349569176064462,0.26666666666666666,11.134501725693914,0.1459994916001295,0.3516375503797348
clean,0,unweighted_icp,0.01,22,1800,1800,1800,0.5483059893059246,0.08291418082226863,0.06780502915896879,0.00033343339391403464,0.0203383194739552,0.0941056883024891,0.034931616806661285,0.26666666666666666,11.116649465688674,0.1456670622308661,0.3509392451902419
clean,0,unweighted_icp,0.01,23,1800,1800,1800,0.5493012610745163,0.08276448723019175,0.06763082262404263,0.0003314262992021037,0.02026161317509293,0.0939194373646778,0.03502148244929104,0.2683333333333333,11.09880457594432,0.14533663413772674,0.35024411726184773
clean,0,unweighted_icp,0.01,24,1800,1800,1800,0.549397694176148,0.08261373835076562,0.0674800324758202,0.0003332791061954212,0.020090463513870015,0.09373219231877486,0.03495988660877157,0.2677777777777778,11.08110697809618,0.14500443621182693,0.3495476983115636
clean,0,unweighted_icp,0.01,25,1800,1800,1800,0.5496531136100562,0.08246379289437869,0.06727107142682051,0.00033144672747888095,0.020179974901729916,0.09354544598483855,0.035049900768430425,0.26944444444444443,11.06335252321659,0.14467396818589134,0.3488529394028958
clean,0,unweighted_icp,0.01,26,1800,1800,1800,0.5503505659138382,0.08231370855725537,0.06716331272201936,0.00032974200418352565,0.020586501755231603,0.09335790475797294,0.03502830982579153,0.26944444444444443,11.045313085381673,0.1443451104037736,0.3481561460155633
clean,0,unweighted_icp,0.01,27,1800,1800,1800,0.5508823918856424,0.08216341930422152,0.06698861805141473,0.0003299230565477051,0.020330824545257822,0.09317069827757699,0.034928641894214955,0.2683333333333333,11.027484246797279,0.14401621762387953,0.34746175836942933
clean,0,unweighted_icp,0.01,28,1800,1800,1800,0.5515339116695026,0.08201319053502137,0.06681267315221372,0.00033009497511071593,0.020192664068894056,0.09298402240528988,0.03493963108197119,0.2688888888888889,11.009799454051436,0.1436871632627217,0.346769180208526
clean,0,unweighted_icp,0.01,29,1800,1800,1800,0.5519295269124459,0.08186282538076284,0.06668395458701536,0.0003287284226078441,0.020188832376287543,0.09279724714998157,0.03491297709518922,0.2688888888888889,10.992031603699605,0.1433594581632616,0.3460770213502392
clean,0,unweighted_icp,0.01,30,1800,1800,1800,0.5529859645718883,0.08171215516279727,0.06645394662349709,0.000328894801459292,0.020426486960513107,0.09260965410388049,0.03503745901443727,0.27111111111111114,10.974074791011576,0.14303160855623817,0.34538201057023443
clean,0,unweighted_icp,0.03,0,1800,1800,1800,0.5399446488064873,0.08635016502161154,0.07118825067291899,0.0,0.0,0.0983511454193281,0.035243467202531846,0.2611111111111111,11.523197640929231,0.15322279473444214,0.3668059165630625
clean,0,unweighted_icp,0.03,1,1800,1800,1800,0.5407623243556501,0.08587172716704478,0.07072458271580524,0.0010665765410097082,0.0633755471805389,0.09776255732966745,0.03499443790154017,0.2588888888888889,11.465588185616038,0.15215883162560817,0.364577270811436
clean,0,unweighted_icp,0.03,2,1800,1800,1800,0.5418659151234171,0.085398671015737,0.07024401078033116,0.0010561260534203134,0.0626992102291203,0.09718002059103678,0.03489510441519807,0.2588888888888889,11.408691223659511,0.1511052255055054,0.3623721583331373
clean,0,unweighted_icp,0.03,3,1800,1800,1800,0.5435063298350754,0.08492132570486624,0.06978311629496502,0.001052308184248283,0.06198988904790374,0.09659455912887883,0.034749472293778394,0.25833333333333336,11.35292573223693,0.15005613318500288,0.360179949636251
clean,0,unweighted_icp,0.03,4,1800,1800,1800,0.5446913959165149,0.08445014693493123,0.0693558042075669,0.001042743299762786,0.06146774438231668,0.09601388996860227,0.03476550133100952,0.26,11.297571533244827,0.1490171150685834,0.35800672036963394
clean,0,unweighted_icp,0.03,5,1800,1800,1800,0.5460120707620977,0.0839812607266239,0.0688737930747641,0.0010273434414095604,0.062350912038704034,0.0954328066691163,0.034669424085478885,0.26,11.242150943389406,0.14799351991978504,0.3558478360227954
clean,0,unweighted_icp,0.03,6,1800,1800,1800,0.5472482948482454,0.08351732823930517,0.06831763497628969,0.0010151466079307667,0.062143949410112274,0.09485632335379524,0.03489197693406774,0.2644444444444444,11.187219499177464,0.1469814877246994,0.35371000607026926
clean,0,unweighted_icp,0.03,7,1800,1800,1800,0.5482020805232035,0.08305790106238899,0.0679029741301117,0.0010107520925788011,0.061716231915795186,0.09428438455144314,0.03495659060530908,0.26666666666666666,11.13326604326034,0.1459741596351687,0.3515912046192152
clean,0,unweighted_icp,0.03,8,1800,1800,1800,0.5493915479974737,0.08260582259195642,0.06747109688384186,0.000999539175376845,0.06100070158677734,0.0937220453200924,0.034959589535384944,0.2677777777777778,11.079768714497657,0.1449776460643786,0.34949737852944757
clean,0,unweighted_icp,0.03,9,1800,1800,1800,0.5508765635215384,0.08215584107901984,0.06697975602442142,0.000993537357883529,0.06051619217401465,0.09316129815304364,0.034927819523327956,0.2683333333333333,11.026568401773169,0.14398705952199312,0.34741404169276846
clean,0,unweighted_icp,0.03,10,1800,1800,1800,0.5529109697005984,0.08170379065864489,0.06644064771862479,0.0009894092272834285,0.06057190913860697,0.09259962813887049,0.03503619649265096,0.27111111111111114,10.973564187558203,0.1430007864025231,0.3453360564169756
clean,0,unweighted_icp,0.03,11,1800,1800,1800,0.5539645164829435,0.08125241588225154,0.06584925523980538,0.0009883019229635556,0.0614491805647996,0.09203558183329381,0.03496117147315197,0.27111111111111114,10.919637365390695,0.14201572276362606,0.3432476782508268
clean,0,unweighted_icp,0.03,12,1800,1800,1800,0.554956440724064,0.08080492812280499,0.06531005589170696,0.0009808760654876766,0.06078094372615755,0.09147667895504519,0.0351641061117733,0.27555555555555555,10.866296726349166,0.14103789612573844,0.3411775423442753
clean,0,unweighted_icp,0.03,13,1800,1800,1800,0.5548232969833716,0.0803592753225746,0.0647983739349398,0.0009709181197563433,0.06191453315588487,0.09091728301667745,0.035038870806382516,0.275,10.811765519615257,0.14007067476624468,0.3391056129790747
clean,0,unweighted_icp,0.03,14,1800,1800,1800,0.5553630635746469,0.07992122097371272,0.06437950751312954,0.0009627772693359511,0.061485997904225244,0.09036594961701602,0.035055730210099174,0.27666666666666667,10.757496953992566,0.13911081282283175,0.33705173197977345
clean,0,unweighted_icp,0.03,15,1800,1800,1800,0.5569365476728315,0.07949096775247903,0.06398581500422917,0.0009544106093088285,0.06113009031371335,0.08982122603410872,0.034895076105501306,0.27555555555555555,10.703462727794237,0.13815971111190334,0.3350155644239544
clean,0,unweighted_icp,0.03,16,1800,1800,1800,0.558582454338242,0.07906859916271625,0.06356679838114346,0.0009470375291188814,0.060166526999013335,0.08928427374568758,0.03493052827021494,0.2772222222222222,10.650362804172264,0.1372161350761758,0.33300403686358604
clean,0,unweighted_icp,0.03,17,1800,1800,1800,0.5594179449511598,0.0786531159219989,0.06308439089739092,0.0009368869847658862,0.05995520692986694,0.08875360389444294,0.03528945006064924,0.2838888888888889,10.597677391072784,0.136282667515965,0.3310130453211358
clean,0,unweighted_icp,0.03,18,1800,1800,1800,0.5618259172777088,0.07824262795517405,0.06269390407591263,0.0009237727171417446,0.05943508377615846,0.08823137263640045,0.03540793770177384,0.2872222222222222,10.54548851795342,0.13536181385320883,0.3290480716691435
clean,0,unweighted_icp,0.03,19,1800,1800,1800,0.5643245988580784,0.07783010415647898,0.0622510026005854,0.0009220677627380432,0.05997250998182659,0.08770705343701406,0.035426402603248544,0.28888888888888886,10.492770689266532,0.13444220562668988,0.32707696595636926
clean,0,unweighted_icp,0.03,20,1800,1800,1800,0.5667784087065382,0.07742122513883942,0.06180755594486944,0.0009232905360279425,0.05972856656582547,0.08718485493292395,0.035381514840274034,0.28944444444444445,10.439813645022587,0.13352121733388045,0.3251042087170303
clean,0,unweighted_icp,0.03,21,1800,1800,1800,0.5694150542250294,0.07701631881138317,0.061411993778136394,0.0009143937866248546,0.05943408767979334,0.08666801529322081,0.03546589849073294,0.2922222222222222,10.387173952927164,0.13260894437417792,0.3231486991966704
clean,0,unweighted_icp,0.03,22,1800,1800,1800,0.5713646577613185,0.07661285702530644,0.06117827579314547,0.0009150302342010638,0.05946876490659806,0.08615388714266936,0.03545215092043185,0.29333333333333333,10.333982214967671,0.13169561984247072,0.3211893291348168
clean,0,unweighted_icp,0.03,23,1800,1800,1800,0.5727306139576187,0.07621371608745259,0.06085703026748858,0.00090845392504683,0.058517615424211036,0.08564444388805716,0.03550161837241778,0.29555555555555557,10.28155852008744,0.13078950418362514,0.31924953327255673
clean,0,unweighted_icp,0.03,24,1800,1800,1800,0.5731797607039414,0.07581969532328062,0.060448099668974874,0.0008988894550926408,0.05878883870795463,0.08514164344902381,0.035554779808599064,0.29777777777777775,10.229023441802628,0.12989272715171296,0.31732460501876303
clean,0,unweighted_icp,0.03,25,1800,1800,1800,0.5750022022262754,0.07543240235906541,0.0599981098174119,0.0008899785532036082,0.057369493842786605,0.08464735972152547,0.03558102160444921,0.29944444444444446,10.177680096092413,0.12900513526436308,0.3154292959468127
