iteration,tau,acceptance_ratio,mean_residual,mean_label_distance,residual_error,acceptance_error,control_error,tp,fp,fn,tn,precision,recall,f1,sample_id,scenario,lambda_filter
2,0.5117761397541041,0.22538461538461538,0.051288770649461246,0.07099436568489255,0.011288770649461245,0.0,0.011288770649461245,190,103,364,643,0.6484641638225256,0.34296028880866425,0.448642266824085,box_sphere_added_outliers_medium_2,added_outliers,0.25
3,0.5174205250788347,0.2153846153846154,0.051304596473671985,0.07037765037548174,0.011304596473671984,0.0,0.011304596473671984,185,95,369,651,0.6607142857142857,0.33393501805054154,0.44364508393285373,box_sphere_added_outliers_medium_2,added_outliers,0.25
0,0.5,0.17022900763358778,0.08370166715699716,0.10040799125719792,0.04370166715699716,0.02977099236641223,0.0734726595234094,64,159,82,1005,0.28699551569506726,0.4383561643835616,0.34688346883468835,box_sphere_added_outliers_medium_3,added_outliers,0.25
1,0.5181294595326971,0.1450381679389313,0.08495702104274952,0.09854984413151323,0.04495702104274952,0.05496183206106872,0.09991885310381823,58,132,88,1032,0.30526315789473685,0.3972602739726027,0.34523809523809523,box_sphere_added_outliers_medium_3,added_outliers,0.25
2,0.5337377410464382,0.13053435114503817,0.08757298066583309,0.09747912604483623,0.04757298066583309,0.06946564885496184,0.11703862952079494,54,117,92,1047,0.3157894736842105,0.3698630136986301,0.34069400630914826,box_sphere_added_outliers_medium_3,added_outliers,0.25
3,0.5488410252724846,0.11908396946564885,0.08811676825878881,0.09665427476777165,0.04811676825878881,0.08091603053435116,0.12903279879313997,52,104,94,1060,0.3333333333333333,0.3561643835616438,0.3443708609271523,box_sphere_added_outliers_medium_3,added_outliers,0.25
4,0.5627849055850851,0.10687022900763359,0.08864323974722697,0.09570945387657435,0.04864323974722697,0.09312977099236643,0.1417730107395934,49,91,97,1073,0.35,0.3356164383561644,0.34265734265734266,box_sphere_added_outliers_medium_3,added_outliers,0.25
5,0.5754653040846528,0.09923664122137404,0.08846261661537885,0.09572914185779972,0.04846261661537885,0.10076335877862597,0.1492259753940048,44,86,102,1078,0.3384615384615385,0.3013698630136986,0.31884057971014496,box_sphere_added_outliers_medium_3,added_outliers,0.25
6,0.587101192545014,0.09236641221374046,0.08822650617328952,0.09557337939695977,0.04822650617328952,0.10763358778625955,0.15586009395954906,41,80,105,1084,0.33884297520661155,0.2808219178082192,0.3071161048689139,box_sphere_added_outliers_medium_3,added_outliers,0.25
7,0.5977602471583764,0.08854961832061069,0.08851496005813392,0.09546537227604038,0.04851496005813392,0.11145038167938932,0.15996534173752325,41,75,105,1089,0.35344827586206895,0.2808219178082192,0.31297709923664124,box_sphere_added_outliers_medium_3,added_outliers,0.25
8,0.6080864294775197,0.08396946564885496,0.0891513058508903,0.09565999495005732,0.0491513058508903,0.11603053435114505,0.16518184020203536,37,73,109,1091,0.33636363636363636,0.2534246575342466,0.2890625,box_sphere_added_outliers_medium_3,added_outliers,0.25
9,0.6181582656090717,0.07862595419847328,0.08817522950005258,0.09560296838421427,0.048175229500052576,0.12137404580152673,0.16954927530157932,35,68,111,1096,0.33980582524271846,0.23972602739726026,0.2811244979919678,box_sphere_added_outliers_medium_3,added_outliers,0.25
10,0.6270741246339072,0.0717557251908397,0.09088626854617081,0.09462450534942098,0.05088626854617081,0.1282442748091603,0.17913054335533113,32,62,114,1102,0.3404255319148936,0.2191780821917808,0.2666666666666666,box_sphere_added_outliers_medium_3,added_outliers,0.25
11,0.6364867245558475,0.06564885496183206,0.0906442512553527,0.09558430989539997,0.050644251255352705,0.13435114503816795,0.18499539629352066,28,58,118,1106,0.32558139534883723,0.1917808219178082,0.24137931034482757,box_sphere_added_outliers_medium_3,added_outliers,0.25
12,0.6450149570537529,0.061068702290076333,0.09304622799993287,0.09343014132560593,0.05304622799993287,0.13893129770992368,0.19197752570985654,27,53,119,1111,0.3375,0.18493150684931506,0.23893805309734514,box_sphere_added_outliers_medium_3,added_outliers,0.25
13,0.6541716588399789,0.0549618320610687,0.0935841481233222,0.0925500410220353,0.053584148123322205,0.14503816793893132,0.19862231606225353,24,48,122,1116,0.3333333333333333,0.1643835616438356,0.22018348623853212,box_sphere_added_outliers_medium_3,added_outliers,0.25
14,0.6628339619092736,0.05267175572519084,0.09289958874300025,0.09195355350146078,0.05289958874300025,0.14732824427480917,0.20022783301780941,23,46,123,1118,0.3333333333333333,0.15753424657534246,0.21395348837209302,box_sphere_added_outliers_medium_3,added_outliers,0.25
15,0.6708677257464225,0.05114503816793893,0.09328290534435182,0.09280205378530958,0.05328290534435182,0.1488549618320611,0.2021378671764129,21,46,125,1118,0.31343283582089554,0.14383561643835616,0.19718309859154928,box_sphere_added_outliers_medium_3,added_outliers,0.25
16,0.6789023081895907,0.04580152671755725,0.09262553382950028,0.09421198164024422,0.05262553382950028,0.15419847328244277,0.20682400711194304,19,41,127,1123,0.31666666666666665,0.13013698630136986,0.18446601941747573,box_sphere_added_outliers_medium_3,added_outliers,0.25
17,0.6859402659440356,0.042748091603053436,0.09258309666803866,0.09398724906474745,0.052583096668038655,0.15725190839694658,0.20983500506498523,18,38,128,1126,0.32142857142857145,0.1232876712328767,0.1782178217821782,box_sphere_added_outliers_medium_3,added_outliers,0.25
18,0.6925753257284366,0.04122137404580153,0.09407418266093674,0.09301492797194995,0.05407418266093674,0.15877862595419848,0.21285280861513522,18,36,128,1128,0.3333333333333333,0.1232876712328767,0.18,box_sphere_added_outliers_medium_3,added_outliers,0.25
19,0.6997650888146302,0.03740458015267176,0.09609973936692667,0.09095998509806408,0.05609973936692667,0.16259541984732825,0.21869515921425492,17,32,129,1132,0.3469387755102041,0.11643835616438356,0.17435897435897438,box_sphere_added_outliers_medium_3,added_outliers,0.25
0,0.5,0.228,0.076683649566835,0.0628236260602325,0.036683649566835,0.0,0.036683649566835,234,108,412,746,0.6842105263157895,0.3622291021671827,0.4736842105263158,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
1,0.5183418247834175,0.20133333333333334,0.07702108546260378,0.061573045866974443,0.03702108546260378,0.0,0.03702108546260378,210,92,436,762,0.695364238410596,0.32507739938080493,0.4430379746835443,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
2,0.5368523675147194,0.17933333333333334,0.07688006409437609,0.06200920712741666,0.03688006409437609,0.020666666666666667,0.057546730761042754,188,81,458,773,0.6988847583643123,0.29102167182662536,0.41092896174863386,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
3,0.5527090662285742,0.15933333333333333,0.07712275191487092,0.061500897108809835,0.03712275191487092,0.040666666666666684,0.0777894185815376,166,73,480,781,0.694560669456067,0.25696594427244585,0.3751412429378531,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
4,0.5661871088526763,0.14466666666666667,0.07748994156292227,0.06202788709200335,0.03748994156292227,0.055333333333333345,0.09282327489625561,151,66,495,788,0.695852534562212,0.23374613003095976,0.3499420625724218,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
5,0.5780154129674708,0.13466666666666666,0.07886423849214867,0.060310126708371437,0.03886423849214867,0.06533333333333335,0.10419757182548203,144,58,502,796,0.7128712871287128,0.22291021671826625,0.33962264150943394,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
6,0.5892808655468785,0.12266666666666666,0.07984059494408124,0.059794520738349906,0.039840594944081244,0.07733333333333335,0.1171739282774146,132,52,514,802,0.717391304347826,0.2043343653250774,0.3180722891566265,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
7,0.5995344963522525,0.11933333333333333,0.07886749167089176,0.05930896254826022,0.038867491670891756,0.08066666666666668,0.11953415833755843,129,50,517,804,0.7206703910614525,0.1996904024767802,0.31272727272727274,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
8,0.6088849088543651,0.11333333333333333,0.07987964961357864,0.05876870923448437,0.03987964961357864,0.08666666666666668,0.12654631628024532,123,47,523,807,0.7235294117647059,0.19040247678018576,0.30147058823529416,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
9,0.6179914003278211,0.10733333333333334,0.08140108618484258,0.05878301111047428,0.04140108618484258,0.09266666666666667,0.13406775285150926,115,46,531,808,0.7142857142857143,0.1780185758513932,0.2850061957868649,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
10,0.627108610086909,0.10133333333333333,0.07945990833522218,0.05978191467152291,0.03945990833522218,0.09866666666666668,0.13812657500188885,107,45,539,809,0.7039473684210527,0.16563467492260062,0.2681704260651629,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
11,0.6345052309211867,0.09466666666666666,0.08251476662529321,0.05858143116280438,0.04251476662529321,0.10533333333333335,0.14784809995862655,102,40,544,814,0.7183098591549296,0.15789473684210525,0.25888324873096447,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
12,0.6425959475671666,0.08866666666666667,0.08428894183279645,0.056527506352434934,0.04428894183279645,0.11133333333333334,0.15562227516612978,97,36,549,818,0.7293233082706767,0.15015479876160992,0.24903722721437746,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
13,0.6508237518168982,0.084,0.08296275789026585,0.057454944840468675,0.042962757890265844,0.116,0.15896275789026584,91,35,555,819,0.7222222222222222,0.14086687306501547,0.23575129533678757,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
14,0.6578051307620312,0.07733333333333334,0.08549767282810782,0.05463383404637285,0.045497672828107814,0.12266666666666667,0.1681643394947745,86,30,560,824,0.7413793103448276,0.13312693498452013,0.2257217847769029,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
15,0.6652206338427518,0.07533333333333334,0.08655838324983996,0.05568105794797163,0.046558383249839956,0.12466666666666668,0.17122504991650664,83,30,563,824,0.7345132743362832,0.12848297213622292,0.21870882740447958,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
16,0.6729164921343385,0.07133333333333333,0.08755484085256335,0.05391254768107052,0.04755484085256335,0.12866666666666668,0.17622150751923002,80,27,566,827,0.7476635514018691,0.1238390092879257,0.21248339973439576,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
17,0.6806105792272868,0.06733333333333333,0.0879237915452376,0.054417394969383165,0.047923791545237605,0.13266666666666668,0.18059045821190428,76,25,570,829,0.7524752475247525,0.11764705882352941,0.20348058902275767,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
18,0.6879891416665723,0.06266666666666666,0.0876207960463909,0.05290124709028081,0.047620796046390905,0.13733333333333336,0.18495412937972427,71,23,575,831,0.7553191489361702,0.10990712074303406,0.1918918918918919,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
19,0.6946328730231011,0.059333333333333335,0.08853053039948774,0.05305698602951852,0.048530530399487744,0.14066666666666666,0.1891971970661544,67,22,579,832,0.7528089887640449,0.10371517027863777,0.18231292517006803,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.25
0,0.5,0.19333333333333333,0.0677871272905244,0.07015240110619847,0.027787127290524398,0.006666666666666682,0.03445379395719108,197,93,440,770,0.6793103448275862,0.3092621664050236,0.42502696871628914,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
1,0.5130602303119288,0.17266666666666666,0.06868324787405236,0.06864417454718527,0.02868324787405236,0.02733333333333335,0.05601658120738571,185,74,452,789,0.7142857142857143,0.2904238618524333,0.4129464285714286,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
2,0.5239851875822883,0.16066666666666668,0.06848002384552379,0.06774147817437225,0.02848002384552379,0.03933333333333333,0.06781335717885711,176,65,461,798,0.7302904564315352,0.27629513343799056,0.4009111617312073,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
3,0.5333085328383835,0.148,0.0690906024087059,0.06683509443161108,0.029090602408705903,0.05200000000000002,0.08109060240870591,166,56,471,807,0.7477477477477478,0.260596546310832,0.3864959254947613,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
4,0.5413538340427365,0.13666666666666666,0.07028179273604922,0.06719298691026242,0.030281792736049216,0.06333333333333335,0.09361512606938258,151,54,486,809,0.7365853658536585,0.2370486656200942,0.3586698337292161,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
5,0.5485780637440945,0.13133333333333333,0.07035992532331577,0.06655112680307766,0.030359925323315766,0.06866666666666668,0.09902659198998245,147,50,490,813,0.7461928934010152,0.23076923076923078,0.3525179856115108,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
6,0.555174693072419,0.12133333333333333,0.07088964519848195,0.06593251949116807,0.030889645198481953,0.07866666666666668,0.10955631186514864,136,46,501,817,0.7472527472527473,0.21350078492935637,0.3321123321123321,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
7,0.5607861823383266,0.11733333333333333,0.07185118656525029,0.06548925358510155,0.03185118656525029,0.08266666666666668,0.11451785323191696,134,42,503,821,0.7613636363636364,0.21036106750392464,0.32964329643296436,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
8,0.5663784422876184,0.112,0.07158803821302506,0.06513867920662515,0.03158803821302506,0.08800000000000001,0.11958803821302508,127,41,510,822,0.7559523809523809,0.19937205651491366,0.315527950310559,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
9,0.5711724613941309,0.10866666666666666,0.07184571685020484,0.06460016116358598,0.03184571685020484,0.09133333333333335,0.1231790501835382,125,38,512,825,0.7668711656441718,0.19623233908948196,0.31249999999999994,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
10,0.5756786531525666,0.10666666666666667,0.07153252158824545,0.06434902247044294,0.03153252158824545,0.09333333333333334,0.12486585492157878,123,37,514,826,0.76875,0.19309262166405022,0.3086574654956085,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
11,0.5797782472800227,0.10333333333333333,0.0712889002961336,0.06459693217580337,0.031288900296133605,0.09666666666666668,0.12795556696280028,118,37,519,826,0.7612903225806451,0.18524332810047095,0.29797979797979796,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
12,0.5833393640947562,0.09933333333333333,0.07102707570553189,0.06440253828871613,0.03102707570553189,0.10066666666666668,0.13169374237219858,113,36,524,827,0.7583892617449665,0.17739403453689168,0.28753180661577604,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
13,0.5862695686141888,0.096,0.07069877461732374,0.0638713235986445,0.03069877461732374,0.10400000000000001,0.13469877461732374,109,35,528,828,0.7569444444444444,0.17111459968602827,0.2791293213828425,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
14,0.5886189559228506,0.09266666666666666,0.07094614625109141,0.06297888068447448,0.030946146251091412,0.10733333333333335,0.13827947958442477,106,33,531,830,0.762589928057554,0.1664050235478807,0.2731958762886598,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
15,0.5906753623817297,0.09066666666666667,0.07087269593572054,0.06303084680732332,0.03087269593572054,0.10933333333333334,0.14020602926905387,104,32,533,831,0.7647058823529411,0.16326530612244897,0.2690815006468305,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
16,0.5924450436829233,0.09,0.07072602982787422,0.06259720030934866,0.030726029827874222,0.11000000000000001,0.14072602982787424,104,31,533,832,0.7703703703703704,0.16326530612244897,0.26943005181347146,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
17,0.5940580585968603,0.08866666666666667,0.07065180346924048,0.06221304004758084,0.030651803469240478,0.11133333333333334,0.14198513680257382,103,30,534,833,0.7744360902255639,0.16169544740973313,0.26753246753246757,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
18,0.5954672936648139,0.08666666666666667,0.0706209673116689,0.062148170538241176,0.030620967311668905,0.11333333333333334,0.14395430064500225,100,30,537,833,0.7692307692307693,0.15698587127158556,0.2607561929595828,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
19,0.5966111106539816,0.08533333333333333,0.07063711618764364,0.06157345909082804,0.030637116187643636,0.11466666666666668,0.1453037828543103,99,29,538,834,0.7734375,0.1554160125588697,0.2588235294117647,box_sphere_partial_overlap_medium_2,partial_overlap,0.25
0,0.5,0.14066666666666666,0.09464872760622227,0.09067905844050782,0.05464872760622227,0.05933333333333335,0.11398206093955562,73,138,197,1092,0.3459715639810427,0.27037037037037037,0.30353430353430355,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
1,0.5199076971364445,0.11333333333333333,0.09680233306825715,0.08803223717536247,0.05680233306825715,0.08666666666666668,0.14346899973492383,62,108,208,1122,0.36470588235294116,0.22962962962962963,0.2818181818181818,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
2,0.5374755303372397,0.09,0.09809072891226825,0.08553125668363343,0.05809072891226825,0.11000000000000001,0.16809072891226826,50,85,220,1145,0.37037037037037035,0.18518518518518517,0.24691358024691354,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
3,0.5527708947933738,0.07266666666666667,0.09840948751104402,0.0848152746895902,0.058409487511044016,0.12733333333333335,0.18574282084437738,39,70,231,1160,0.3577981651376147,0.14444444444444443,0.20580474934036938,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
4,0.5660589718822292,0.06333333333333334,0.09834617951675209,0.08434202055718819,0.05834617951675209,0.13666666666666666,0.19501284618341874,34,61,236,1169,0.35789473684210527,0.1259259259259259,0.18630136986301368,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
5,0.5781487283072719,0.05733333333333333,0.0989730170191201,0.08291536517024366,0.058973017019120104,0.14266666666666666,0.20163968368578677,31,55,239,1175,0.36046511627906974,0.11481481481481481,0.1741573033707865,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
6,0.5898019034834987,0.054,0.09875399043287622,0.08200629059723624,0.05875399043287622,0.14600000000000002,0.20475399043287623,30,51,240,1179,0.37037037037037035,0.1111111111111111,0.17094017094017092,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
7,0.6009288986999368,0.052,0.0985620023712226,0.08205249820130778,0.0585620023712226,0.14800000000000002,0.20656200237122263,29,49,241,1181,0.3717948717948718,0.10740740740740741,0.16666666666666669,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
8,0.6117098998855481,0.046,0.09998709439862866,0.08105924569390327,0.059987094398628656,0.15400000000000003,0.21398709439862867,26,43,244,1187,0.37681159420289856,0.0962962962962963,0.1533923303834808,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
9,0.6224534470848625,0.043333333333333335,0.1013519715202583,0.07961991734465546,0.06135197152025829,0.15666666666666668,0.21801863818692496,26,39,244,1191,0.4,0.0962962962962963,0.15522388059701492,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
10,0.6335460995116583,0.04066666666666666,0.10158928081249853,0.07892102978240928,0.06158928081249853,0.15933333333333335,0.2209226141458319,25,36,245,1194,0.4098360655737705,0.09259259259259259,0.1510574018126888,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
11,0.6444240732512408,0.038,0.10337329976887485,0.07813500549461032,0.06337329976887485,0.162,0.22537329976887485,24,33,246,1197,0.42105263157894735,0.08888888888888889,0.14678899082568808,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
12,0.6558607231356782,0.034666666666666665,0.10344887928236791,0.07762838776297182,0.06344887928236792,0.16533333333333333,0.22878221261570125,22,30,248,1200,0.4230769230769231,0.08148148148148149,0.13664596273291924,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
13,0.6669184961101955,0.032,0.10402039221293995,0.07453786103677217,0.06402039221293995,0.168,0.23202039221293996,22,26,248,1204,0.4583333333333333,0.08148148148148149,0.13836477987421386,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
14,0.6779286922166655,0.029333333333333333,0.10566254851579676,0.07108844705379334,0.06566254851579675,0.1706666666666667,0.23632921518246344,22,22,248,1208,0.5,0.08148148148148149,0.14012738853503184,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
15,0.6894266331412305,0.027333333333333334,0.10569627695247005,0.07090305478043207,0.06569627695247005,0.1726666666666667,0.23836294361913674,20,21,250,1209,0.4878048780487805,0.07407407407407407,0.12861736334405144,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
16,0.7006914382841323,0.026,0.10689750682988094,0.07097836342808929,0.06689750682988094,0.17400000000000002,0.24089750682988095,18,21,252,1209,0.46153846153846156,0.06666666666666667,0.11650485436893204,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
17,0.7123901916990727,0.024666666666666667,0.10691369866764554,0.07226094420003033,0.06691369866764554,0.17533333333333334,0.24224703200097888,16,21,254,1209,0.43243243243243246,0.05925925925925926,0.10423452768729642,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
18,0.7239303743662288,0.023333333333333334,0.10787860872792011,0.07038285533694917,0.06787860872792012,0.17666666666666667,0.2445452753945868,16,19,254,1211,0.45714285714285713,0.05925925925925926,0.10491803278688525,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
19,0.7357863453968555,0.02,0.10850702800067934,0.07408318937775066,0.06850702800067934,0.18000000000000002,0.24850702800067936,12,18,258,1212,0.4,0.044444444444444446,0.07999999999999999,box_sphere_partial_overlap_medium_3,partial_overlap,0.25
0,0.5,0.238,0.047220872270003614,0.058702080405221145,0.007220872270003613,0.0,0.007220872270003613,276,81,585,558,0.773109243697479,0.3205574912891986,0.45320197044334976,box_sphere_scene_change_hard_mixed,scene_change,0.25
1,0.5036104361350018,0.22933333333333333,0.04764625041708974,0.05840320473457936,0.007646250417089738,0.0,0.007646250417089738,268,76,593,563,0.7790697674418605,0.31126596980255516,0.44481327800829873,box_sphere_scene_change_hard_mixed,scene_change,0.25
2,0.5074335613435467,0.224,0.047690668870944475,0.05817099481756313,0.007690668870944474,0.0,0.007690668870944474,262,74,599,565,0.7797619047619048,0.3042973286875726,0.4377610693400167,box_sphere_scene_change_hard_mixed,scene_change,0.25
0,0.5,0.15466666666666667,0.07187675326250957,0.09719138733129885,0.03187675326250957,0.04533333333333334,0.07721008659584291,63,169,146,1122,0.27155172413793105,0.3014354066985646,0.28571428571428575,box_sphere_scene_change_medium_2,scene_change,0.25
