scenario,seed,method,lambda_gain,final_rmse_all,final_rmse_inlier,final_fitness,final_rotation_error_deg,final_translation_error,final_alignment_error,iae_alignment,ise_alignment,mean_alignment_error,tv_translation_update,tv_rotation_update,mean_selected_correspondences,mean_predicted_weight
added_outliers,0,distance_weighted_icp,0.01,0.08688676862018826,0.035196721851108684,0.2927777777777778,11.433776135958773,0.14902174182630862,0.3502462718060846,10.963829037568352,3.877723867523353,0.3536719044376888,0.0001578241353314024,0.009666698315410862,1800.0,0.4727040301082473
added_outliers,0,distance_weighted_icp,0.03,0.08336052651461959,0.0350290976557712,0.3055555555555556,11.251670277566484,0.14025471879409399,0.3361319480843784,10.748386887090968,3.7279080334317203,0.3467221576480957,0.0005165091466247122,0.033036435132209496,1800.0,0.48421147255444386
added_outliers,0,distance_weighted_icp,0.05,0.0798367367339963,0.03521549694347086,0.32722222222222225,11.00346759042032,0.1317071016751602,0.3215785143133597,10.526472879194316,3.577902447866257,0.33956364126433275,0.0009454190581218039,0.059454144411333905,1800.0,0.4940606497876686
added_outliers,0,distance_weighted_icp,0.1,0.07006024044529817,0.03510881669459743,0.3938888888888889,10.03207057882444,0.10859825752161266,0.2789792037551552,9.934585238001079,3.200033188679054,0.3204704915484219,0.0022659910372623635,0.1419980503794465,1800.0,0.5248397124089197
added_outliers,0,distance_weighted_icp,0.2,0.04818440382515681,0.03432309542231235,0.6894444444444444,7.16446265506984,0.05958556408102607,0.17941459445688127,8.522594469157331,2.433031024696576,0.27492240223088166,0.00491714093790482,0.3139949657832548,1800.0,0.5935956037639869
added_outliers,0,distance_weighted_icp,0.4,0.018717450152983487,0.01868263323622383,0.9994444444444445,1.1820600401055024,0.0072794178706506955,0.03781746842468921,5.885453006085713,1.434154855898756,0.1898533227769585,0.012874823055885911,0.7316768045703395,1800.0,0.6999171041436479
added_outliers,0,distance_weighted_icp,0.75,0.015685581250301173,0.015685581250301173,1.0,0.0636634747804091,0.0004893337062512225,0.016811549704356485,3.505381940234999,0.8093661083628747,0.11307683678177416,0.02767120375053519,1.9360156310627983,1800.0,0.7776085035786956
added_outliers,0,distance_weighted_icp,1.0,0.01568558125634933,0.01568558125634933,1.0,0.06366760927234888,0.0004893738932905308,0.01681163124236335,2.8083821377090157,0.6289766850540124,0.09059297218416179,0.03507571937434793,2.7094854329049425,1800.0,0.7999724530272508
added_outliers,0,mlp_weighted_icp,0.01,0.0858918513185947,0.03509231124643518,0.295,11.329705795665529,0.14493883483425865,0.34412774410950864,10.867976879994451,3.810554836234311,0.3505798993546597,0.0003054244763284317,0.011779056313857072,1800.0,0.4768973749913098
added_outliers,0,mlp_weighted_icp,0.03,0.08030913981370674,0.0352670352925702,0.3238888888888889,10.823311009392556,0.12897570500036273,0.31751795490799506,10.460254108726994,3.5339036873153398,0.3374275518944192,0.0009492214810157499,0.04212337684022504,1800.0,0.49626919003253206
added_outliers,0,mlp_weighted_icp,0.05,0.07464881667092758,0.035360502783628005,0.35833333333333334,10.168974506585942,0.11404473869659001,0.290383300433377,10.047605783642696,3.2687927069733163,0.3241163156013773,0.0016408961529440548,0.08124945109086487,1800.0,0.5171439696712576
added_outliers,0,mlp_weighted_icp,0.1,0.05944193945969289,0.03505321965243827,0.5016666666666667,8.320803910443596,0.08001435656204264,0.2226643351261715,8.986994357607877,2.656538688098278,0.2899030437938025,0.0038590730370768648,0.18595793400669292,1800.0,0.5700251647751152
added_outliers,0,mlp_weighted_icp,0.2,0.03576165746024478,0.030564278434784434,0.8816666666666667,4.663776844338847,0.03226707376984999,0.11466649967348325,7.044617632028877,1.7726285190442501,0.22724573006544765,0.00883211933714702,0.4250556569766428,1800.0,0.6530520270403946
added_outliers,0,mlp_weighted_icp,0.4,0.015741844719492745,0.015741844719492745,1.0,0.10997885219069152,0.0007530254283301907,0.01759465866972985,4.349649807023529,0.9671596815252469,0.1403112840975332,0.021942096090649288,1.2394686372450996,1800.0,0.7528840179657709
added_outliers,0,mlp_weighted_icp,0.75,0.015685604839488713,0.015685604839488713,1.0,0.07303628292784209,0.0005149780423107031,0.01693094571107784,2.6325712993127377,0.5515480449211775,0.08492165481653993,0.041341277423105706,2.3001077814595483,1800.0,0.80705294108605
added_outliers,0,mlp_weighted_icp,1.0,0.015685604840378006,0.015685604840378006,1.0,0.07303634186859703,0.000514978478915357,0.016930946737979333,2.138237993868338,0.431038224158326,0.06897541915704317,0.055069495847538084,3.0769186076120154,1800.0,0.8225157435333906
added_outliers,0,unweighted_icp,0.01,0.08606564870046074,0.03507562832873837,0.2927777777777778,11.230870429240124,0.14742990921537633,0.3458042622082383,10.894545446271517,3.829093823439821,0.35143694987972635,0.00021845335243393953,0.01697169040413742,1800.0,0.4750907971831684
added_outliers,0,unweighted_icp,0.03,0.08086414296774723,0.03530067084588327,0.3161111111111111,10.654046298558034,0.13585551921162994,0.3232601251649575,10.543639597971058,3.589252174583416,0.34011740638616317,0.0007268291772967119,0.059565375384502475,1800.0,0.49083875542335403
added_outliers,0,unweighted_icp,0.05,0.0759640782558253,0.035502878338916535,0.3433333333333333,10.051448100713548,0.12483493513522996,0.3013134943981908,10.199197159066072,3.364179874866994,0.3290063599698733,0.0012469925632816593,0.10281720559227661,1800.0,0.5060355229082689
added_outliers,0,unweighted_icp,0.1,0.062224167924201504,0.03527487529376353,0.4461111111111111,8.389481916755003,0.09400429094890118,0.2401232780406527,9.29829573640595,2.8264458875454066,0.2999450237550307,0.0029551241154003463,0.21697710002837223,1800.0,0.5510438587806769
added_outliers,0,unweighted_icp,0.2,0.03884416155978969,0.03233679547981817,0.8411111111111111,5.050996609619168,0.04213550117689533,0.1314896288328767,7.478257090327405,1.9529136600910737,0.24123409968798082,0.007081098862898694,0.430633465419627,1800.0,0.633768493665454
added_outliers,0,unweighted_icp,0.4,0.015858607683210596,0.015858607683210596,1.0,0.2143455760860571,0.0015397695815641968,0.019541833025635363,4.747258068161542,1.083167277715883,0.15313735703746909,0.01809834260417297,1.2033095915069714,1800.0,0.7390781665668135
added_outliers,0,unweighted_icp,0.75,0.015685579524242935,0.015685579524242935,1.0,0.06331548635416276,0.000484791458569837,0.0168035258463544,2.8739364636203097,0.6202655951528311,0.09270762785871967,0.032757067398969934,2.210939592461294,1800.0,0.7986704219125126
added_outliers,0,unweighted_icp,1.0,0.01568557952424289,0.01568557952424289,1.0,0.06331554483036193,0.0004847920315435498,0.01680352700409006,2.3039986411043683,0.4800428979346762,0.07432253680981833,0.044622046926045315,3.071035498135065,1800.0,0.8169227800068638
added_outliers,1,distance_weighted_icp,0.01,0.08149930483460989,0.03584293430371108,0.31444444444444447,11.482785100406316,0.14856453266095823,0.3448916884996313,10.794935688493027,3.7591750382183595,0.34822373188687183,0.0001778563428977771,0.006816879638711743,1800.0,0.4494351590093804
added_outliers,1,distance_weighted_icp,0.03,0.078390641070621,0.034960581870455885,0.33111111111111113,11.397974218440693,0.13877997794431807,0.331150361199346,10.584987302701903,3.61540504641676,0.3414512033129646,0.0005803828443515975,0.025711678931921382,1800.0,0.4603551693803928
added_outliers,1,distance_weighted_icp,0.05,0.07536508578933608,0.03413944077979843,0.3416666666666667,11.293662303624382,0.1287948803185574,0.3170965891441373,10.369895334490971,3.4721537936363185,0.33451275272551523,0.0009880258564239804,0.04916083205200489,1800.0,0.47049991329537044
added_outliers,1,distance_weighted_icp,0.1,0.06806583689797704,0.034311929573752294,0.38722222222222225,10.7624909819972,0.10426257719651204,0.27995332391446104,9.818990558421405,3.1241401167671197,0.3167416309168195,0.0022028328420085385,0.11400841458725822,1800.0,0.49570544909464637
added_outliers,1,distance_weighted_icp,0.2,0.05157157341336305,0.035152294761055455,0.635,8.510922825773223,0.05864289775384339,0.19532369942493866,8.605311605374693,2.456244323523265,0.2775906969475707,0.004744239338926743,0.31170028427482066,1800.0,0.5511045057600588
