scenario,lambda_filter,mean_iterations,mean_final_tau,mean_acceptance_ratio,mean_residual,mean_label_distance,mean_control_error,mean_precision,mean_recall,mean_f1,mean_iae,mean_ise,mean_tv_tau
added_outliers,0.01,2.25,0.5004107689339575,0.3013720757070219,0.0554279256714407,0.0745763983861488,0.0223475879269839,0.5702173035030279,0.4842174495843436,0.5086884137465087,0.0534221239009466,0.0026774949235981,0.0004107689339575
partial_overlap,0.005,2.25,0.5002788014755979,0.2973333333333333,0.0623743942193411,0.0744640304199836,0.0298789557315353,0.5670672015798465,0.4524836724494916,0.4864276655007084,0.0685924366246578,0.0039677066148246,0.0002788014755978
real_previous_registration,0.005,2.08,0.5001464526983429,0.0131654557466469,0.1009318464439528,0.1535326775221179,0.2509388690194215,0.2309268959049996,0.0254687333193172,0.0389782604884158,0.5188186393540348,0.1398687421846721,0.0005115915599263
scene_change,0.005,2.083333333333333,0.5000962590258982,0.3320705384102797,0.0432792586528926,0.0597979468942123,0.0127793923908015,0.7266258969433174,0.4671138294115969,0.5594082561488016,0.0319886283139523,0.0017447968813857,9.625902589817845e-05
static_noise,0.01,2.1666666666666665,0.5004042625670299,0.3428333333333333,0.0543530797272936,0.0768898288344191,0.0160074193471914,0.5277384976537607,0.5226512713674892,0.517909491173231,0.0386511032542428,0.0011769594204534,0.0004042625670299
strong_noise,0.005,2.083333333333333,0.5000735392105841,0.1645555555555555,0.0594819507054301,0.0799675597597378,0.0715375062609857,0.5236081913900671,0.2671262442876572,0.3365090030556323,0.1481275384304982,0.0142406193043288,0.0001520675498675
