method,lambda_gain,mean_final_rmse_all,mean_final_fitness,mean_final_rotation_error_deg,mean_final_translation_error,mean_final_alignment_error,mean_alignment_error,mean_iae_alignment,mean_ise_alignment,mean_tv_translation_update,mean_tv_rotation_update,mean_selected_correspondences,mean_predicted_weight
unweighted_icp,0.75,0.10272301835055464,0.5229166144678914,3.2456844967429332,0.09859364210295773,0.23377350542094175,0.2712265494964873,7.0518902869086695,2.5578133633194424,0.07085854232843802,1.8227652527874927,1223.926282051282,0.3055245193595309
distance_weighted_icp,1.0,0.10936549804683204,0.5319237306904486,2.4631290890443887,0.12537196836679218,0.2593687573040681,0.31316278563017114,8.142232426384448,3.4675078914831556,0.045728398107455305,1.1273631303139167,1206.1025641025642,0.3064080994906968
mlp_weighted_icp,1.0,0.11256749068410023,0.5272795178139589,3.262128740445806,0.14076228268797622,0.28595106077653454,0.31935963082402924,8.30335040142476,3.5175052234773214,0.05247614646795471,1.536470137508279,1202.320512820513,0.310279039221099
