sample_id,scenario,num_correspondences,positive_ratio,mean_label_distance,mean_distance_T0,mean_point_to_plane_residual
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005_easy,real_previous_registration,2000,0.121,0.181284169970247,0.10210538422785352,0.057762411392917885
real_20260706_153654_table_fanuc_cluster000_table1_refined_from_identity_hard,real_previous_registration,1887,0.1589825119236884,0.1755902386497109,0.13168341243585033,0.08725954978858287
real_20260706_153654_table_fanuc_cluster000_table1_refined_from_identity_medium,real_previous_registration,1881,0.16321105794790006,0.1842881493030876,0.14340061214125216,0.09550564360565075
real_20260706_153654_table_fanuc_cluster000_table1_refined_from_identity_easy,real_previous_registration,1831,0.085199344620426,0.23148153335254038,0.1606286482977084,0.10561173225826714
box_sphere_partial_overlap_medium_2,partial_overlap,1500,0.4246666666666667,0.0868900869567983,0.07185068800455627,0.06361610098760634
box_sphere_strong_noise_medium_2,strong_noise,1500,0.572,0.07516658331012328,0.05781931905962375,0.047373339406769625
box_sphere_strong_noise_medium_3,strong_noise,1500,0.36866666666666664,0.0916910859773727,0.060307190635573674,0.05017465766474867
boxes_cylinder_partial_overlap_medium_2,partial_overlap,1500,0.27266666666666667,0.09905832555090545,0.06268588874773004,0.052158282559093626
box_sphere_scene_change_medium_3,scene_change,1500,0.562,0.0947917756927537,0.08380485711625553,0.07221153735692613
box_sphere_static_noise_hard_mixed,static_noise,1500,0.15333333333333332,0.11584505187314025,0.07107153256941706,0.06238161355014618
box_sphere_static_noise_medium_2,static_noise,1500,0.452,0.08673288364771561,0.05327501087379736,0.04179770228901287
box_sphere_static_noise_medium_3,static_noise,1500,0.27,0.0987433595470831,0.07078393755766854,0.06206828807392327
box_sphere_strong_noise_hard_mixed,strong_noise,1500,0.24266666666666667,0.10044473739437236,0.06310396060798122,0.053012530504159786
boxes_cylinder_partial_overlap_medium_3,partial_overlap,1500,0.6613333333333333,0.06736675490939621,0.04668143027070246,0.03418628684066913
boxes_cylinder_partial_overlap_hard_mixed,partial_overlap,1500,0.10066666666666667,0.13901577972332083,0.07265920516550682,0.06287582517316165
boxes_cylinder_static_noise_hard_mixed,static_noise,1500,0.43466666666666665,0.08368947620565495,0.05200551137838238,0.039611149942655195
boxes_cylinder_strong_noise_medium_2,strong_noise,1500,0.2906666666666667,0.09510260527429815,0.05587198122977703,0.0447603947831215
box_sphere_partial_overlap_hard_mixed,partial_overlap,1500,0.43066666666666664,0.0965338840447397,0.06724004720146466,0.05718970093390641
box_sphere_scene_change_medium_2,scene_change,1500,0.13933333333333334,0.13533455361001642,0.08036609458020405,0.0700104870599873
box_sphere_scene_change_hard_mixed,scene_change,1500,0.574,0.09058649469149321,0.07694915437149878,0.0648022138955083
box_sphere_partial_overlap_medium_3,partial_overlap,1500,0.18,0.11295411495704372,0.0863544417263425,0.07920612405746967
l_shape_static_noise_medium_3,static_noise,1500,0.182,0.10634673115745678,0.06539516150595343,0.05630517891776188
wall_column_partial_overlap_medium_3,partial_overlap,1500,0.7433333333333333,0.05480616717678577,0.04971125862429284,0.033990558018100706
wall_column_partial_overlap_hard_mixed,partial_overlap,1500,0.5026666666666667,0.07791349886269054,0.0489674532847501,0.029850079748069865
wall_column_strong_noise_medium_2,strong_noise,1500,0.6366666666666667,0.07216534545235122,0.05689246572483839,0.040067687165996645
wall_column_partial_overlap_medium_2,partial_overlap,1500,0.3526666666666667,0.09784509076018628,0.060100724084219584,0.04021759897557902
wall_column_strong_noise_hard_mixed,strong_noise,1500,0.274,0.10432667423311606,0.06908094810902403,0.04903374494117305
boxes_cylinder_static_noise_medium_3,static_noise,1500,0.35933333333333334,0.09142868168856394,0.05167975183163946,0.039753185076295064
boxes_cylinder_strong_noise_hard_mixed,strong_noise,1500,0.132,0.12438561270271906,0.06494575954330516,0.05441429350744446
l_shape_scene_change_hard_mixed,scene_change,1500,0.25866666666666666,0.13146924481717479,0.07781255320079848,0.06706623161454398
l_shape_partial_overlap_hard_mixed,partial_overlap,1500,0.182,0.10896575366204017,0.06908638240863979,0.06020277201377108
l_shape_strong_noise_medium_3,strong_noise,1500,0.36,0.09153010391077276,0.05673729501263473,0.04540960758728806
l_shape_strong_noise_medium_2,strong_noise,1500,0.346,0.09207144545304474,0.06096571164530718,0.05068910668622172
l_shape_static_noise_hard_mixed,static_noise,1500,0.36,0.08818141170924648,0.05313045037382856,0.041378125058101074
l_shape_partial_overlap_medium_2,partial_overlap,1500,0.24333333333333335,0.10083719816163117,0.06820078196485596,0.05953160007905583
l_shape_partial_overlap_medium_3,partial_overlap,1500,0.5566666666666666,0.07325583256626485,0.05432244152762241,0.04336796597046641
boxes_cylinder_static_noise_medium_2,static_noise,1500,0.358,0.09022184485413362,0.05219665494192859,0.040136948027081565
wall_column_strong_noise_medium_3,strong_noise,1500,0.388,0.10238903723291637,0.06020255816613564,0.0410699220968753
l_shape_strong_noise_hard_mixed,strong_noise,1500,0.36533333333333334,0.09434212566620499,0.06250509629543599,0.05143349167512256
l_shape_static_noise_medium_2,static_noise,1500,0.508,0.0807665701620419,0.05538813144047681,0.045138162425463896
boxes_cylinder_strong_noise_medium_3,strong_noise,1500,0.15,0.13011213138233974,0.07170516730035191,0.061450887452288515
wall_column_static_noise_medium_3,static_noise,1500,0.572,0.07321619797308267,0.04842136003684756,0.031174244330896404
wall_column_static_noise_medium_2,static_noise,1500,0.282,0.10579657396048134,0.060092069802503444,0.042779841826861606
wall_column_static_noise_hard_mixed,static_noise,1500,0.32066666666666666,0.09435796755314892,0.06132594651822423,0.04384644449074255
l_shape_scene_change_medium_3,scene_change,1495,0.8735785953177257,0.06404193067120781,0.06111750336744435,0.04871326750110316
boxes_cylinder_scene_change_hard_mixed,scene_change,1451,0.43142660234321156,0.11537667465361737,0.08421449182388104,0.07172938573341545
