num_iterations,final_tau,final_acceptance_ratio,final_mean_residual,final_mean_label_distance,final_control_error,final_precision,final_recall,final_f1,iae,ise,total_variation_tau,sample_id,scenario,lambda_filter
4,0.500633447016546,0.16356877323420074,0.06981155584976564,0.09770318036073201,0.0662427826155649,0.34545454545454546,0.3377777777777778,0.3415730337078652,0.2634164805526875,0.017347734718412635,0.000633447016545996,box_sphere_added_outliers_hard_mixed,added_outliers,0.005
2,0.5001193778443095,0.2423076923076923,0.051925645661710325,0.07132580785896482,0.011925645661710324,0.6444444444444445,0.3664259927797834,0.4672036823935558,0.023863430092663285,0.0002847317215685732,0.00011937784430948728,box_sphere_added_outliers_medium_2,added_outliers,0.005
2,0.5003625891906539,0.17022900763358778,0.08370166715699716,0.10040799125719792,0.0734726595234094,0.28699551569506726,0.4383561643835616,0.34688346883468835,0.1469453190468188,0.010796463394885682,0.0003625891906539058,box_sphere_added_outliers_medium_3,added_outliers,0.005
2,0.5003668364956684,0.22733333333333333,0.07671989284300164,0.06294786442152578,0.03671989284300164,0.6832844574780058,0.3606811145510836,0.4721377912867274,0.07340354240983664,0.002694040675943877,0.00036683649566837673,box_sphere_partial_overlap_hard_mixed,partial_overlap,0.005
5,0.5010337118203472,0.19,0.06807466256755948,0.06997273667127389,0.03807466256755949,0.6807017543859649,0.304552590266876,0.420824295010846,0.18227917793560974,0.00665632480027666,0.0010337118203471718,box_sphere_partial_overlap_medium_2,partial_overlap,0.005
2,0.5003981539427289,0.14066666666666666,0.09464872760622227,0.09067905844050782,0.11398206093955562,0.3459715639810427,0.27037037037037037,0.30353430353430355,0.22796412187911125,0.025983820432057145,0.00039815394272890714,box_sphere_partial_overlap_medium_3,partial_overlap,0.005
2,0.5000722087227001,0.238,0.047220872270003614,0.058702080405221145,0.007220872270003613,0.773109243697479,0.3205574912891986,0.45320197044334976,0.014441744540007226,0.00010428199267941425,7.22087227000845e-05,box_sphere_scene_change_hard_mixed,scene_change,0.005
3,0.5004089770038853,0.15333333333333332,0.0720209471260237,0.09715452385632894,0.07868761379269038,0.27391304347826084,0.3014354066985646,0.2870159453302961,0.23458531418122366,0.018344878600912756,0.00040897700388531355,box_sphere_scene_change_medium_2,scene_change,0.005
2,0.500047866368223,0.23133333333333334,0.044786636822291184,0.06466642892107159,0.004786636822291183,0.7636887608069164,0.3143534994068802,0.4453781512605042,0.009573273644582367,4.5823784137027674e-05,4.786636822295964e-05,box_sphere_scene_change_medium_3,scene_change,0.005
3,0.5007381821350888,0.188,0.07986889227885573,0.09586886206211793,0.05186889227885574,0.31560283687943264,0.3869565217391304,0.34765625000000006,0.15485377245441193,0.007993608191126706,0.0007381821350888051,box_sphere_static_noise_hard_mixed,static_noise,0.005
2,0.5000450914489966,0.2886666666666667,0.044509144899652464,0.0678436361374133,0.004509144899652463,0.6189376443418014,0.3952802359882006,0.4824482448244824,0.009018289799304927,4.0664775452123645e-05,4.509144899655926e-05,box_sphere_static_noise_medium_2,static_noise,0.005
