case_name,method,lambda_gain,final_rmse_all,final_rmse_inlier,final_fitness,final_rotation_error_deg,final_translation_error,final_alignment_error,mean_alignment_error,iae_alignment,ise_alignment,tv_translation_update,tv_rotation_update,mean_selected_correspondences,mean_predicted_weight
real_20260626_144015_pallet_rack_05_part1_refined_from_voxel005,unweighted_icp,1.0,0.05029937434907332,0.03349637302042607,0.6629711751662971,1.1922349707497317,0.02775833909210059,0.08998006314867123,0.10585154743218551,2.7521402332368234,0.29945356442094867,0.01655067825775943,1.7736797912920081,1353.0,0.2580365618241624
real_20260707_154904_ur10_choko_base_cluster016_base_refined_from_center_v2,unweighted_icp,1.0,0.03593377002194282,0.030589389161146133,0.8816234498308907,3.3273412410642265,0.02486815201486308,0.09407533444744817,0.22823272663970368,5.934050892632295,1.6939125736434753,0.17056502638772197,2.6526778448260515,887.0,0.5707951153853799
real_20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005,mlp_weighted_icp,1.0,0.08608703009426265,0.03282958697455434,0.5092387287509239,1.046125898390861,0.011188450861820517,0.10773673993999178,0.12645132508412335,3.287734452187207,0.4297805884173887,0.018236301002581577,1.7343832785041522,1298.3461538461538,0.21726703267005607
real_20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005,distance_weighted_icp,0.75,0.08325108359877104,0.03375486325635828,0.5188470066518847,1.5596888259089143,0.00897911240885965,0.10782708426671983,0.13082839598950144,3.4015382957270375,0.45990605574191984,0.011923224595312436,0.8373376868935359,1306.5384615384614,0.20908772967389486
real_20260626_143302_palletizer_005_part_2_refined_from_voxel005,mlp_weighted_icp,1.0,0.08844534939167831,0.035506012198555495,0.415,1.4815735471517413,0.011118131321085457,0.11437921618428118,0.14888638263193776,3.871045948430382,0.5965312958905521,0.012882772327947533,0.5948671958320614,2500.0,0.3285935751767442
real_20260706_150131_table3_cluster004_table3_refined_from_identity,unweighted_icp,1.0,0.07612145391572529,0.0332012654425439,0.697,0.5476067588522187,0.0590342183709997,0.14063173987524716,0.2640370587726322,6.864963528088438,2.5534020085582303,0.19672985271805238,2.3247913309435035,977.4615384615385,0.26099475681319767
real_20260703_135250_rm00_0260_02_cluster029_full_refined_from_voxel005,distance_weighted_icp,1.0,0.08536944633462581,0.03187869084907494,0.5555555555555556,1.770609130329053,0.03859755197296759,0.14167308961088393,0.18330302649044466,4.765878688751561,0.8844792646922413,0.024168453591379965,1.3196219261909385,846.5384615384615,0.4328392902707632
real_20260706_145031_table2_cluster004_table2_refined_from_identity,unweighted_icp,1.0,0.03693120906673059,0.030865396184739498,0.8523809523809524,1.56501385221696,0.16454852413097018,0.21712987171987036,0.30099150573152694,7.8257791490197,2.6701040557138365,0.09276355054495435,1.40845370536124,1050.0,0.46522021497114896
real_20260706_130424_table_cluster004_table1_refined_from_identity_scale1,unweighted_icp,0.4,0.0564945461761628,0.03410485897775578,0.5982783357245337,3.040374901654106,0.13825992799073988,0.22515822318344372,0.32142644846298657,8.357087660037651,2.817778862112315,0.06700958140033836,0.9925905602560433,696.7692307692307,0.34433289780265075
real_20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005,unweighted_icp,0.75,0.15158939132168267,0.03631357724165955,0.2222222222222222,2.6362533840712037,0.05399294438660732,0.23194486954900204,0.24296585959362282,6.317112349434193,1.539558719320606,0.04208388963009271,3.0731612384409495,739.0384615384615,0.1414063531532119
real_20260706_153654_table_fanuc_cluster000_table1_refined_from_identity,mlp_weighted_icp,1.0,0.2583944239954857,0.03329234994367852,0.4036666666666667,1.5716702345119675,0.06132780737237309,0.33543893371297845,0.5370891358244061,13.96431753143456,8.319816369827745,0.09249572133787089,0.7933881315919683,2273.0384615384614,0.4042962066765045
real_20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005,unweighted_icp,0.1,0.27384530549306796,0.037633684163094615,0.10125646711012565,3.2027282542596343,0.05188343751124647,0.35775602554691077,0.3659001602460889,9.513404166398312,3.484729888655294,0.007708542749076638,0.2620084163963394,615.1153846153846,0.06500523075735717
