scenario,lambda_filter,mean_iterations,mean_final_tau,mean_acceptance_ratio,mean_residual,mean_label_distance,mean_control_error,mean_precision,mean_recall,mean_f1,mean_iae,mean_ise,mean_tv_tau
static_noise,0.1,4.75,0.5142779647661982,0.32511111111111113,0.05527420249239601,0.0757300805317337,0.027039653223404958,0.540779789448462,0.49512568363095305,0.5066837236351601,0.356693365943285,0.048438176196694716,0.014277964766198211
static_noise,0.15,5.416666666666667,0.5220656523546711,0.31183333333333335,0.05573388288358271,0.07510337368828308,0.02749933361459166,0.5472528547612944,0.4791037287307991,0.5009794125290422,0.2723015081301616,0.03364455958477288,0.022065652354671006
static_noise,0.2,6.75,0.5398223876390195,0.3099444444444444,0.05316709185985428,0.07811302020029066,0.03048809814641878,0.5046444761637697,0.46482249055597097,0.47729134626558717,0.8640718450217452,0.1828026926399332,0.0453460649289902
static_noise,0.25,11.75,0.5757248752170127,0.26205555555555554,0.0548758993855313,0.07550110355752661,0.062419127894318034,0.5341323550926852,0.39230008438648634,0.4307212428541805,1.3111605449950103,0.22403007109715065,0.08032793962532166
static_noise,0.3,6.416666666666667,0.5533379158054672,0.2865,0.05353449585115214,0.07738725749958551,0.030855502137716654,0.5145735890109205,0.4365187798536046,0.4660339318321057,0.6000298062579398,0.12156934265590573,0.05886159309543796
static_noise,0.4,10.083333333333334,0.5862212962580831,0.2406111111111111,0.05518913299627143,0.07471244633668452,0.05978791706061371,0.5402701449362607,0.366953006672162,0.41428202989360124,0.9211062040498842,0.153771469222454,0.09726865083802456
static_noise,0.5,13.666666666666666,0.6218483174844647,0.21872222222222223,0.06013148960547931,0.06706226409188461,0.08617471811426604,0.6139244750063803,0.3231806173968811,0.365946715187063,1.855592480043175,0.36591076093050035,0.14790185684220167
static_noise,0.75,14.333333333333334,0.6279781972243129,0.2058333333333333,0.05574005328548362,0.07366445546340164,0.08161661512760368,0.5346068789107391,0.3078153594967313,0.3566389201728344,2.2529076354993682,0.48976304465713055,0.29533124270928407
static_noise,1.0,17.416666666666668,0.6393486917956087,0.18888888888888888,0.06051238863171107,0.06876834712495265,0.09116672825160892,0.6103625546382178,0.2849547076752035,0.34799649770570035,2.6872299630383023,0.5503942372133757,0.39531030942370027
strong_noise,0.05,9.083333333333334,0.5017556106059561,0.1633888888888889,0.05940384859677956,0.07948983837784994,0.07218162637455734,0.5258571886177269,0.26180226847074956,0.3374274914133064,0.7962655102118958,0.08228441786787985,0.01106195419642018
strong_noise,0.1,15.5,0.5155505300310459,0.15188888888888888,0.059511121633797875,0.07850946143611748,0.08090001052268678,0.5381795299262536,0.2378683297016332,0.3253915061251162,1.3162221051223613,0.13677305907984913,0.034814559770701275
strong_noise,0.15,13.166666666666666,0.5178603572986968,0.1491111111111111,0.05976086325590773,0.07803147679082446,0.0839275299225744,0.5461347547476271,0.23478573447934048,0.32290398954753685,1.1246426098071194,0.12013345171940382,0.03770286464204376
strong_noise,0.2,12.833333333333334,0.5248772626809046,0.14527777777777778,0.06002640835186889,0.0776912642835677,0.08802640835186891,0.5485275759718179,0.22794574086927386,0.3174458498318459,1.2523028983874638,0.1515888736292735,0.044845400075391895
strong_noise,0.25,15.25,0.5355340355063997,0.13433333333333333,0.06063767056113702,0.07746845447033736,0.0953043372278037,0.5526148294874204,0.20670271554470032,0.29307146029553494,1.5740807415739362,0.21372949195508287,0.055779730380341085
strong_noise,0.3,14.5,0.5393128844750373,0.13572222222222222,0.061036082286821426,0.07775368189808901,0.09692497117571032,0.546259952323593,0.20568508803683003,0.2900793578311086,1.7068214453007726,0.2517769031997858,0.06100775502408085
strong_noise,0.4,12.666666666666666,0.5362653845604238,0.13599999999999998,0.06040377772253036,0.07764792052109827,0.09457044438919704,0.551269807833629,0.20766700219361026,0.29343656060364687,1.3521243973119494,0.1852248500704414,0.06010805413345003
strong_noise,0.5,12.833333333333334,0.5486829994468719,0.13144444444444445,0.060968177725117124,0.07682392750549112,0.10119039994733936,0.5536795730602638,0.19905161281733952,0.28235860071742597,1.6403595105053226,0.26203130114607626,0.07145984540261453
strong_noise,0.75,13.333333333333334,0.5496977603514718,0.12955555555555556,0.06072779869139846,0.07687967484886409,0.10000557646917624,0.5517829283627976,0.1956086292489402,0.2793293766617555,1.3912624167034908,0.19887007757617411,0.07596234120449652
strong_noise,1.0,8.416666666666666,0.5527022392297842,0.12711111111111112,0.06071709483688626,0.0766963085612782,0.1018282059479974,0.5542549497458302,0.19122148855937604,0.2753275097091558,0.980262658896223,0.1570202734056056,0.07811748359625913
