scenario,method,lambda_gain,mean_final_rmse_all,mean_final_fitness,mean_final_rotation_error_deg,mean_final_translation_error,mean_final_alignment_error,mean_alignment_error,mean_iae_alignment,mean_ise_alignment
added_outliers,distance_weighted_icp,0.01,0.08500253780672458,0.290925925925926,11.467032940019159,0.14868080377628523,0.3483536709832014,0.3517403705833535,10.903951488083957,3.8356778543337318
added_outliers,distance_weighted_icp,0.03,0.08172517689602805,0.30388888888888893,11.329226563162914,0.13942380207099733,0.3344412445986545,0.34487903745289167,10.691250161039642,3.688546060238003
added_outliers,distance_weighted_icp,0.05,0.07839442905904376,0.32203703703703707,11.130989649568988,0.12998707356491038,0.319691399119644,0.33776326883316593,10.470661333828142,3.540224168603108
added_outliers,distance_weighted_icp,0.1,0.06960391752099064,0.37537037037037035,10.323741114659525,0.1056184235140165,0.2784597521816024,0.31872103813697983,9.880352182246375,3.165236328715681
added_outliers,distance_weighted_icp,0.2,0.04904755852424749,0.6729629629629629,7.547776900113047,0.05768651606285688,0.18221184358823483,0.27488257535876276,8.521359836121647,2.4275251166257115
added_outliers,distance_weighted_icp,0.4,0.019680370960150042,0.9994444444444445,1.4674424125016952,0.008039338019862558,0.04239413310502955,0.19158947259036738,5.939273650301389,1.442414898425822
added_outliers,distance_weighted_icp,0.75,0.015543178062210046,0.9998148148148148,0.06646370339339604,0.0006920721205363783,0.016899887216680384,0.11462885217295588,3.553494417361632,0.8147889651766856
added_outliers,distance_weighted_icp,1.0,0.015543178072937897,0.9998148148148148,0.06646401170179318,0.0006920595834944681,0.016899877773450294,0.09165671317730682,2.8413581084965114,0.632005231012209
added_outliers,mlp_weighted_icp,0.01,0.08407105963411643,0.2957407407407407,11.344488152043382,0.14497862867888148,0.3424945698334317,0.34881010790614825,10.813113345090594,3.772312965738489
added_outliers,mlp_weighted_icp,0.03,0.07879880051435395,0.31962962962962965,10.888104815288978,0.1289143044932021,0.31659415316044587,0.33599163027642737,10.415740538569247,3.503786394783639
added_outliers,mlp_weighted_icp,0.05,0.07347181227889159,0.3466666666666667,10.310618372169294,0.1137816011066692,0.29035959710725373,0.3230082835778481,10.013256790913292,3.2460201009026104
added_outliers,mlp_weighted_icp,0.1,0.059501175111737664,0.48962962962962964,8.592971617213069,0.07965465361478345,0.22508554489865182,0.29024902071579955,8.997719642189788,2.6591816766505496
added_outliers,mlp_weighted_icp,0.2,0.036321572223629355,0.8687037037037038,4.845951842822028,0.03284518498168688,0.11762627563353652,0.2290241911605496,7.099749925977037,1.7915355240673128
added_outliers,mlp_weighted_icp,0.4,0.01562563857492286,0.9998148148148148,0.1737044942093846,0.0013163689464931246,0.018679052463509833,0.14240567599137574,4.414575955732647,0.9810768115193964
added_outliers,mlp_weighted_icp,0.75,0.015543237360409379,0.9998148148148148,0.07053016615991993,0.0007071077752969164,0.016955646797305494,0.08591349896953182,2.6633184680554867,0.5565120420317787
added_outliers,mlp_weighted_icp,1.0,0.01554323736079847,0.9998148148148148,0.07053019049002339,0.0007071078965530416,0.016955647162251748,0.06996840208354009,2.1690204645897424,0.4364919404742554
added_outliers,unweighted_icp,0.01,0.08445878406933037,0.29203703703703704,11.364813205670401,0.14754144644861758,0.345648362574652,0.35036489669910287,10.861311797672187,3.8058236239951633
added_outliers,unweighted_icp,0.03,0.08016028836406991,0.31037037037037035,11.036551440206887,0.13626441577773182,0.3267902185438706,0.3409381765381152,10.569083472681571,3.6057944010398084
added_outliers,unweighted_icp,0.05,0.075944740739734,0.33185185185185184,10.64610818520156,0.12501973678200592,0.30742555937375554,0.3314387778660783,10.274602113848426,3.411915678558767
added_outliers,unweighted_icp,0.1,0.06463343899422778,0.4174074074074074,9.359080732682573,0.09561357901318775,0.25383782533424126,0.30629367569800564,9.495103946638174,2.9373389687414737
added_outliers,unweighted_icp,0.2,0.04190977472731538,0.7875925925925925,5.992739607527942,0.044629709317465995,0.1464668801200608,0.2521854020656236,7.817747464034333,2.1019041477178053
added_outliers,unweighted_icp,0.4,0.016340839336203488,0.9998148148148148,0.526559164865643,0.0030886687471918897,0.024695099732051806,0.16492664123721898,5.112725878353789,1.19068951951875
added_outliers,unweighted_icp,0.75,0.015543176420974908,0.9998148148148148,0.06629282641402214,0.0006921701879685776,0.016898274873083707,0.09876469883912775,3.0617056640129605,0.6730460719313308
added_outliers,unweighted_icp,1.0,0.015543176420968459,0.9998148148148148,0.06629273176573873,0.0006921689254585835,0.01689827266408443,0.07930839056411719,2.458560107487633,0.5222509189079189
clean,distance_weighted_icp,0.01,0.09599600619756349,0.2622222222222222,11.262474059585935,0.14559873786444663,0.35421948465786945,0.3613960480208845,11.203277488647421,4.049470290664789
clean,distance_weighted_icp,0.03,0.08799213795358961,0.28685185185185186,10.692787223703201,0.13092537677037971,0.32584538696100135,0.34717429815293305,10.762403242740925,3.7414883282737654
clean,distance_weighted_icp,0.05,0.080304308017616,0.3068518518518519,10.062629856632896,0.11663780608563547,0.2975684126695804,0.33298433599188754,10.322514415748515,3.4512023944431185
clean,distance_weighted_icp,0.1,0.06319757780588753,0.42962962962962964,8.413810047438021,0.08319478815564489,0.23053046643591266,0.2982185141431402,9.244773938437346,2.8105415373573774
clean,distance_weighted_icp,0.2,0.03727753005600875,0.8518518518518517,4.981475222211808,0.03367397901164634,0.12076626128977318,0.23562635428059397,7.304416982698413,1.8958689760663756
clean,distance_weighted_icp,0.4,0.005103015145801956,1.0,0.04560383002375354,0.00039534520992584485,0.005954398655965337,0.14153546343416362,4.387599366459072,1.0288131322427765
clean,distance_weighted_icp,0.75,0.005076087878502098,1.0,0.01563156722668255,0.00011116612241923436,0.005343569673188158,0.08032628651203655,2.490114881873133,0.5805532824447338
clean,distance_weighted_icp,1.0,0.005076087878502107,1.0,0.015631567252099732,0.00011116612227102673,0.005343569673294131,0.06283967107146604,1.9480298032154473,0.4523813811915863
clean,mlp_weighted_icp,0.01,0.09463779972727931,0.2664814814814815,11.158832071780497,0.14254075763346938,0.3487668780785536,0.3586403776521059,11.117851707215282,3.988459753437882
clean,mlp_weighted_icp,0.03,0.08420693711195515,0.29537037037037034,10.32806019627887,0.12278558327466492,0.3102731223494088,0.33912713148310214,10.512941075976167,3.5746481658921017
